TymeBreathRate,tidal_volume,TymeVentilation
24.51,217.3,51.68
24.42,217.1,51.2
24.37,215.7,50.81
24.35,213.6,50.49
24.35,211.7,50.34
24.41,210.5,50.56
24.48,209.8,50.76
24.55,209.2,50.95
24.63,208.6,51.14
24.71,208.2,51.3
24.84,208.7,51.29
24.96,209.2,51.28
25.09,209.7,51.27
25.22,208.6,50.97
25.36,207.4,50.65
25.39,206.6,50.52
25.41,205.8,50.39
25.37,205.7,50.66
25.31,205.8,51.04
25.25,205.9,51.42
25.14,206.4,51.76
24.98,207.2,52.07
24.79,207.5,52.03
24.53,206.7,51.35
24.35,206.1,51.27
24.22,205.6,51.48
24.15,205.4,51.76
24.17,205.4,52.15
24.19,205.4,52.54
24.25,205.7,52.67
24.33,205.9,52.79
24.4,206.2,52.9
24.5,206.5,52.93
24.62,206.8,52.91
24.73,207.0,52.9
24.86,207.6,53.02
25.0,208.3,53.22
25.13,209.0,53.42
25.3,209.3,53.54
25.55,208.4,53.43
25.81,207.5,53.33
25.95,207.0,53.39
26.05,206.6,53.51
26.11,207.1,53.56
26.13,208.4,53.54
26.15,207.7,53.68
26.17,207.5,53.83
26.19,208.1,53.98
26.22,208.8,54.13
26.24,209.4,54.24
26.24,209.9,54.28
26.26,210.4,54.32
26.32,210.6,54.38
26.52,209.9,54.51
26.8,208.5,54.67
27.02,209.4,54.85
27.23,210.7,55.03
27.44,212.0,55.2
27.65,212.3,55.08
27.86,212.4,54.9
28.07,212.5,54.72
28.27,212.8,54.62
28.46,213.1,54.56
28.57,213.7,54.62
28.63,214.4,54.78
28.64,213.8,54.77
28.64,213.0,54.74
28.57,212.5,54.8
28.46,212.0,54.9
28.36,211.6,55.01
28.19,212.2,55.23
27.93,214.3,55.64
27.68,215.0,55.82
27.44,214.5,55.8
27.3,215.3,56.2
27.18,216.3,56.55
27.11,218.0,56.64
27.04,219.6,56.72
26.95,221.2,56.6
26.85,222.6,56.22
26.75,223.4,55.9
26.65,222.2,55.75
26.56,220.9,55.6
26.47,219.7,55.44
26.38,220.9,56.06
26.29,222.2,56.74
26.21,223.7,57.21
26.14,225.3,57.53
26.03,226.1,57.52
25.85,225.4,56.89
25.71,224.7,56.58
25.59,224.0,56.53
25.47,223.4,56.49
25.35,223.1,56.59
25.24,223.2,56.85
25.12,223.3,57.12
25.01,223.1,56.89
24.89,222.7,56.55
24.74,222.6,56.29
24.53,222.9,56.18
24.31,223.1,56.06
24.19,224.1,56.04
24.1,225.4,56.06
24.03,226.2,56.02
24.11,224.5,55.77
24.17,223.1,55.5
24.18,222.5,55.19
24.2,221.8,54.88
24.21,221.2,54.57
24.24,222.0,54.63
24.28,223.2,54.79
24.36,225.1,54.79
24.47,227.5,54.66
24.52,227.8,54.62
24.56,227.5,54.6
24.6,227.3,54.58
24.63,227.1,54.57
24.65,227.0,54.58
24.68,226.9,54.59
24.71,226.6,54.63
24.78,225.1,54.82
24.84,224.2,55.04
24.89,224.5,55.31
24.89,224.9,55.41
24.88,225.2,55.48
24.86,226.4,55.71
24.81,229.3,56.22
24.76,232.1,56.73
24.74,234.2,57.37
24.71,236.4,58.02
24.63,239.6,58.95
24.49,243.9,60.14
24.4,246.6,60.87
24.38,246.7,60.87
24.36,246.8,60.87
24.39,247.5,60.98
24.5,248.8,61.25
24.59,250.0,61.52
24.64,250.7,61.79
24.68,251.4,62.06
24.72,252.1,62.32
24.73,252.1,62.45
24.73,252.0,62.57
24.76,251.5,62.74
24.8,250.5,62.95
24.85,249.6,63.17
24.86,249.5,63.36
24.87,249.8,63.54
24.86,249.8,63.55
24.84,249.6,63.4
24.83,249.5,63.25
24.81,249.3,63.1
24.79,249.2,63.29
24.76,249.0,63.49
24.74,248.4,63.89
24.71,247.7,64.29
24.68,248.8,64.74
24.63,250.8,65.2
24.63,250.1,64.73
24.64,249.2,64.19
24.67,248.7,64.09
24.71,248.6,64.31
24.8,248.6,64.5
24.97,248.8,64.6
25.15,249.0,64.7
25.31,249.0,64.7
25.48,249.0,64.7
25.66,249.4,64.73
25.89,250.9,64.88
26.12,252.4,65.02
26.32,252.2,64.97
26.5,251.2,64.83
26.67,250.8,64.71
26.79,251.3,64.65
26.91,251.8,64.59
26.98,251.7,64.66
27.01,251.1,64.82
27.03,252.3,65.12
27.05,255.4,65.58
27.13,255.4,65.7
27.22,254.9,65.77
27.29,255.0,65.72
27.37,255.0,65.67
27.4,254.8,65.87
27.43,254.5,66.07
27.45,255.3,66.34
27.47,256.4,66.63
27.49,257.2,66.87
27.5,256.2,66.89
27.5,256.1,67.16
27.49,256.6,67.6
27.47,257.2,68.04
27.44,259.1,68.37
27.39,260.8,68.61
27.26,261.4,68.49
27.12,260.2,68.22
26.99,257.6,67.82
26.86,254.9,67.42
26.68,252.8,66.78
26.49,250.7,66.14
26.35,249.5,65.5
26.24,248.9,64.86
26.12,248.2,64.21
25.99,249.4,64.07
25.85,251.8,64.23
25.72,253.6,64.3
25.64,253.1,63.96
25.56,252.7,63.62
25.48,252.2,63.27
25.53,250.2,62.62
25.59,248.3,61.96
25.62,248.9,61.79
25.65,250.0,61.7
25.69,251.1,61.61
25.69,252.0,61.6
25.66,252.8,61.67
25.69,253.5,61.82
25.74,254.2,62.02
25.79,254.9,62.23
25.77,255.6,62.81
25.75,256.3,63.39
25.67,256.3,63.72
25.54,255.7,63.83
25.38,255.3,63.78
25.15,255.3,63.41
24.85,253.8,62.93
24.6,252.5,62.73
24.46,252.6,62.96
24.33,252.7,63.19
24.19,252.6,63.36
24.05,252.3,63.42
23.92,252.0,63.48
23.74,249.1,62.87
23.57,245.8,62.18
23.55,245.6,62.85
23.54,245.4,63.53
23.54,245.1,64.17
23.57,244.2,64.46
23.6,243.4,64.75
23.63,242.6,65.04
23.67,241.9,65.31
23.76,242.1,65.42
23.85,242.3,65.53
23.94,242.5,65.63
24.03,242.7,65.75
24.1,242.6,65.97
24.18,242.6,66.18
24.26,242.6,66.4
24.34,242.6,66.6
24.36,243.2,66.64
24.38,243.7,66.67
24.42,243.8,66.69
24.51,242.7,66.66
24.61,241.6,66.63
24.72,241.0,66.65
24.87,241.9,66.92
25.02,242.8,67.17
25.12,243.0,67.2
25.22,243.2,67.23
25.8,243.4,67.47
26.34,243.7,67.62
26.75,244.2,67.66
27.16,244.6,67.7
27.63,245.1,67.63
28.22,245.7,67.26
28.81,246.3,66.9
29.44,245.6,66.2
30.07,244.7,65.45
30.91,244.3,65.12
31.61,243.6,65.0
32.13,242.5,64.93
32.49,242.5,64.68
32.79,241.4,64.67
32.9,238.9,64.91
32.88,236.7,65.02
32.85,234.5,65.13
32.74,232.3,65.46
32.58,230.0,65.88
32.41,229.1,66.3
32.24,228.6,66.71
32.11,228.7,66.98
31.99,229.2,67.2
31.88,229.6,67.41
31.59,229.8,67.72
31.29,230.1,68.05
31.0,228.3,67.53
30.72,226.4,66.96
30.46,225.4,66.86
30.21,224.8,67.0
29.96,224.1,67.13
29.54,222.8,66.56
29.13,221.6,66.04
28.81,221.4,66.09
28.48,221.2,66.15
28.18,221.1,66.2
27.98,220.7,66.16
27.79,220.3,66.12
27.6,220.0,66.09
27.4,219.6,66.06
27.19,219.1,66.04
27.03,219.2,66.08
26.95,220.0,66.22
26.87,220.8,66.35
26.82,221.7,66.35
26.82,222.6,66.13
26.83,224.3,66.25
26.85,227.2,66.86
26.88,229.7,67.26
26.96,230.3,66.62
27.07,230.8,65.93
27.23,231.4,65.2
27.47,231.5,64.57
27.82,230.7,64.08
28.1,230.9,63.94
28.37,231.6,63.89
28.66,231.7,63.78
28.99,230.7,63.52
29.3,230.1,63.34
29.53,231.4,63.56
29.77,232.7,63.78
30.03,233.9,63.85
30.32,235.0,63.76
30.56,235.7,64.13
30.75,235.9,64.5
30.9,235.3,64.5
