TymeBreathRate,tidal_volume,TymeVentilation
13.85,223.7,40.44
14.2,223.9,40.8
14.55,224.0,41.16
14.9,224.1,41.52
15.25,224.3,41.88
15.62,224.4,42.25
16.01,224.6,42.66
16.41,224.8,43.07
16.8,224.9,43.47
17.2,225.1,43.88
17.52,225.2,44.21
17.84,225.3,44.54
18.16,225.5,44.87
18.48,225.6,45.19
18.79,225.7,45.52
19.14,225.9,45.88
19.56,226.0,46.31
19.97,226.2,46.73
20.39,226.4,47.16
20.81,226.6,47.59
21.52,226.8,48.32
22.22,227.1,49.04
23.49,227.7,50.35
24.79,228.2,51.68
25.64,228.5,52.57
26.32,228.9,53.52
26.79,229.3,54.55
27.2,229.6,55.33
27.58,229.9,56.01
27.96,230.2,56.69
29.15,230.8,58.28
29.8,231.1,59.13
30.35,231.4,59.84
31.04,231.8,60.72
32.08,232.3,61.99
33.14,232.8,63.24
34.14,233.2,64.4
35.0,233.6,65.43
35.87,234.4,67.17
36.29,234.7,68.39
36.26,234.3,68.71
36.23,233.9,69.03
35.83,232.4,69.59
35.35,230.5,70.21
34.93,228.3,70.85
34.69,222.8,71.2
34.52,216.0,71.42
34.55,215.1,72.03
34.59,214.7,72.6
34.66,215.5,72.85
34.72,216.2,73.1
34.79,217.0,73.34
34.86,217.7,73.59
34.94,218.7,73.72
35.04,220.0,73.55
35.14,221.3,73.38
35.21,222.1,73.11
35.2,221.4,72.58
35.19,220.7,72.04
35.15,223.0,72.88
35.11,224.1,73.56
35.08,223.3,73.76
35.09,222.7,73.79
35.1,222.1,73.79
35.12,222.0,73.73
35.14,221.8,73.67
35.16,224.4,74.6
35.16,227.0,75.52
35.17,229.3,76.34
35.18,228.6,76.56
35.22,228.1,76.71
35.37,228.0,76.62
35.52,229.2,76.66
35.68,232.0,76.86
35.76,235.2,78.07
35.81,238.4,79.43
35.74,241.4,79.94
35.68,243.1,80.18
35.61,243.9,80.2
35.46,239.6,78.23
35.3,234.9,76.46
35.2,232.0,76.21
35.09,229.2,75.95
35.05,225.2,75.54
35.03,221.1,75.11
35.05,221.6,75.56
35.0,222.8,75.94
34.93,224.3,76.3
34.9,226.1,76.44
34.9,228.1,76.46
34.81,227.5,76.19
34.69,225.6,75.79
34.39,226.0,75.95
34.08,225.8,75.84
33.77,224.6,75.27
33.51,223.4,74.47
33.32,223.7,74.3
33.22,226.2,75.08
33.12,228.6,75.86
33.11,229.9,76.01
33.11,231.0,76.07
33.16,231.6,76.09
33.31,231.4,76.06
33.48,230.6,75.82
33.64,229.7,75.58
33.76,229.8,75.84
33.85,230.4,76.36
33.88,228.8,75.91
33.89,226.4,75.12
33.89,225.4,75.44
33.87,225.6,76.65
33.61,231.1,77.55
33.41,232.7,77.38
33.27,231.5,76.52
33.21,229.6,75.95
33.14,228.2,75.61
33.06,227.2,75.49
32.98,226.3,75.37
32.99,226.5,75.53
33.06,227.0,75.79
33.43,228.9,76.5
33.82,230.9,77.01
34.21,233.0,77.37
34.57,232.9,76.96
34.89,231.1,75.91
35.22,229.0,74.91
35.68,224.9,74.3
35.96,222.1,74.15
36.02,220.8,74.56
36.06,219.2,74.63
35.94,215.9,72.85
35.76,212.8,71.88
35.57,209.9,71.42
35.42,207.8,70.99
35.48,208.2,71.57
35.57,209.7,72.13
35.66,211.7,72.55
35.75,211.2,72.33
35.83,210.6,72.12
35.92,210.1,71.9
35.97,212.4,73.01
36.04,214.6,74.03
36.19,215.0,73.44
36.33,213.5,72.64
36.41,208.6,71.53
36.56,209.0,71.91
36.69,210.5,72.43
36.72,213.9,72.62
36.65,215.4,72.64
36.5,215.5,72.54
36.3,215.8,72.6
36.0,216.5,73.05
35.67,216.8,73.53
35.33,216.3,74.0
35.3,217.0,74.02
35.3,217.3,74.01
35.32,217.2,73.98
35.33,217.6,74.13
35.33,218.3,74.42
35.41,217.3,73.84
35.4,217.4,73.71
35.13,220.6,74.96
34.87,221.8,74.97
34.6,221.6,74.04
34.36,219.3,73.56
34.17,216.1,73.47
34.05,215.1,73.47
33.88,215.1,73.67
33.7,215.2,73.89
33.55,215.6,74.24
33.5,217.4,75.04
33.48,219.2,75.7
33.49,221.4,76.12
33.52,222.2,76.16
33.55,222.3,76.0
33.59,222.4,75.84
33.68,220.3,75.44
33.8,217.5,74.98
34.0,217.8,75.89
34.21,218.5,76.69
34.35,218.0,76.37
34.39,217.8,76.17
34.39,217.6,76.04
34.42,218.1,76.19
34.54,220.9,77.41
34.72,224.5,78.14
34.9,227.3,78.53
35.03,227.5,78.53
35.27,224.9,77.8
35.56,222.3,77.17
35.85,221.3,77.18
36.14,220.2,77.2
36.53,221.2,77.37
36.87,221.6,77.22
37.1,220.1,76.46
37.61,215.5,75.37
38.12,211.6,74.56
38.45,210.5,74.25
38.54,210.9,74.11
38.58,211.5,74.0
38.52,208.9,73.55
38.41,204.8,72.94
38.27,207.3,75.15
38.19,210.6,76.97
38.1,210.4,76.95
37.99,207.2,75.67
38.09,203.3,75.28
38.26,200.7,75.41
38.41,201.6,75.83
38.46,201.7,75.85
38.44,201.0,75.49
38.42,200.4,75.14
38.15,201.8,75.75
38.02,200.1,74.99
37.95,196.8,73.68
37.79,195.0,73.47
37.63,194.0,73.14
37.45,193.8,72.67
37.51,196.5,72.97
37.59,197.9,73.12
37.66,198.1,73.09
37.74,198.3,73.06
37.82,198.4,73.02
37.93,198.5,72.98
38.04,198.7,72.94
38.1,199.7,73.06
38.16,200.8,73.19
38.41,198.5,72.65
38.64,200.1,73.59
38.75,204.8,75.1
38.73,206.8,74.73
38.69,208.8,74.92
38.51,209.9,75.36
38.06,208.9,74.98
37.7,207.0,74.23
37.42,204.1,73.5
37.27,200.1,72.81
37.17,200.1,73.09
37.11,201.8,73.52
37.07,203.9,73.71
37.14,203.6,73.27
37.25,202.3,72.57
37.24,201.7,72.52
37.21,201.1,72.62
37.11,200.0,72.25
36.95,198.3,71.49
36.78,197.3,70.89
36.5,202.1,71.91
36.21,207.8,73.14
35.96,212.9,74.25
35.88,211.0,73.85
35.8,209.2,73.45
35.64,208.4,73.39
35.43,207.9,73.23
35.26,205.2,71.8
35.19,203.7,71.26
35.14,202.5,70.92
35.11,201.9,70.7
35.15,203.0,70.83
35.38,202.2,70.07
35.57,201.6,69.54
35.68,201.2,69.38
35.78,201.7,69.59
35.87,202.6,69.96
36.03,202.0,69.55
36.12,201.6,69.28
36.14,201.5,69.22
36.13,201.2,69.16
35.99,200.5,69.1
36.07,199.8,69.24
36.34,199.2,69.58
36.58,198.4,69.86
36.75,198.7,70.25
36.82,200.4,70.77
36.86,201.1,70.8
36.88,200.9,70.44
36.89,200.8,70.08
36.91,199.1,69.84
36.93,197.6,69.63
36.9,197.4,69.38
36.92,195.7,67.96
36.99,194.2,67.52
37.06,193.2,67.52
37.11,194.0,67.88
37.11,194.6,68.01
37.06,194.9,67.9
37.1,196.2,68.66
37.17,198.0,69.57
37.23,199.9,70.08
37.26,199.7,70.19
37.28,198.4,70.08
37.24,197.8,70.57
37.18,197.6,71.02
37.07,197.9,71.42
36.79,198.3,71.8
36.48,198.7,72.12
36.15,198.8,72.3
35.86,198.8,72.49
35.58,198.7,72.67
35.46,195.7,72.2
35.36,192.3,71.61
35.28,192.1,71.8
35.21,193.3,72.31
35.28,193.6,72.22
35.36,193.9,72.12
35.49,195.5,72.52
35.64,197.0,72.83
35.88,198.2,72.83
36.17,199.0,72.81
36.65,198.7,72.71
37.02,199.5,73.16
37.38,200.5,73.65
37.95,199.7,73.25
38.19,200.3,73.57
38.39,201.1,73.99
38.64,201.8,74.2
38.73,204.7,75.11
38.8,208.5,75.95
38.9,212.7,76.24
39.03,211.8,75.76
39.11,211.7,75.73
39.18,211.7,75.81
39.24,211.7,75.89
39.33,211.9,76.0
39.47,212.3,76.16
39.59,212.6,76.3
39.7,213.0,76.39
39.8,212.6,76.27
39.91,211.4,75.97
39.9,212.1,76.35
39.86,212.6,76.72
39.72,211.2,76.38
39.49,210.1,76.18
39.24,209.2,76.02
38.84,208.4,75.77
38.28,207.8,75.46
37.67,206.8,75.35
37.16,207.1,75.57
36.73,208.2,76.01
36.27,210.4,76.3
35.96,212.0,76.33
35.82,212.7,76.12
35.81,213.1,75.89
35.87,213.3,75.66
35.9,214.3,75.78
35.93,215.3,75.95
35.96,216.2,76.09
35.99,216.8,75.94
36.02,218.3,76.41
36.05,220.3,77.36
36.03,217.4,76.74
36.02,216.0,76.58
36.01,217.6,77.33
36.0,218.7,77.89
35.99,217.3,77.32
35.95,217.6,77.56
35.89,219.5,78.45
35.83,219.1,78.17
35.76,218.4,77.78
35.69,217.8,77.46
35.64,218.4,77.63
35.61,220.0,78.29
35.67,219.1,77.7
35.76,218.9,77.5
35.86,219.6,77.7
36.02,218.9,77.36
36.18,218.2,77.03
36.32,218.8,77.26
36.45,220.0,77.72
36.58,219.5,77.04
36.7,218.1,76.36
36.8,215.0,75.99
36.88,214.5,75.96
36.96,216.6,76.29
36.98,218.0,76.66
36.97,217.5,76.46
36.96,216.4,76.14
36.87,216.0,76.58
36.79,216.6,77.05
36.72,218.0,77.54
36.69,219.8,78.45
36.67,221.4,79.24
36.64,222.7,79.67
36.65,222.7,79.71
36.67,222.0,79.57
36.66,221.9,79.79
36.55,223.6,81.28
36.41,224.0,81.41
36.26,224.2,81.34
36.03,220.5,79.61
35.85,216.9,78.5
35.75,214.0,78.42
35.66,212.6,78.4
35.58,211.7,78.39
35.54,211.1,78.3
35.5,210.4,78.22
35.44,209.7,78.36
35.38,208.8,78.79
35.39,209.8,79.07
35.41,211.0,79.34
35.49,212.0,79.38
35.61,212.9,79.3
35.73,214.1,79.51
35.84,215.0,79.68
35.91,215.2,79.81
36.05,217.0,80.76
36.21,219.3,81.91
36.46,222.6,82.64
36.67,224.4,82.84
36.86,225.5,82.81
37.25,225.1,83.33
37.81,224.6,83.8
38.37,225.1,84.13
38.71,226.4,84.59
39.01,226.8,84.75
39.26,226.2,84.55
39.35,226.1,84.66
39.39,224.8,84.43
39.41,223.1,84.16
39.39,221.6,84.63
39.29,224.1,86.43
39.3,225.1,87.0
39.34,225.6,87.25
39.34,224.3,86.8
39.31,222.9,86.28
39.2,221.2,85.66
