TymeBreathRate,tidal_volume,TymeVentilation
25.12,236.3,52.23
25.42,237.5,52.37
25.7,239.0,52.56
25.97,240.5,52.76
26.02,240.2,52.79
26.06,239.9,52.82
25.96,238.5,52.9
25.7,235.9,53.08
25.52,233.3,53.63
25.38,232.4,54.05
25.3,233.4,54.31
25.22,234.4,54.57
25.14,235.5,54.83
24.96,235.6,54.79
24.73,235.4,54.63
24.63,235.4,54.5
24.61,235.5,54.38
24.65,234.9,54.33
24.7,234.3,54.29
24.73,233.7,54.2
24.74,233.1,54.03
24.75,232.5,53.85
24.76,231.9,53.68
24.78,231.1,53.52
24.82,230.2,53.41
24.86,229.3,53.29
24.89,228.9,53.28
24.91,229.1,53.38
24.92,229.2,53.47
24.88,229.7,53.47
24.85,230.2,53.47
24.82,230.7,53.47
24.76,230.9,53.46
24.63,230.1,53.43
24.51,229.3,53.39
24.38,228.5,53.36
24.25,227.7,53.34
24.12,226.6,53.56
23.99,225.6,53.78
23.82,224.5,53.75
23.62,223.4,53.57
23.43,222.4,53.4
23.31,222.8,53.47
23.2,223.1,53.54
23.09,223.5,53.6
23.0,224.2,53.72
22.94,225.1,53.87
23.01,226.4,54.28
23.15,227.9,54.83
23.3,229.4,55.38
23.48,229.9,55.0
23.66,230.4,54.59
23.78,230.0,54.18
23.89,229.4,53.76
24.0,228.8,53.35
24.11,228.2,52.94
24.45,232.6,53.57
24.73,236.1,53.92
24.91,238.1,53.78
25.07,239.9,53.72
25.14,241.4,54.08
25.21,242.8,54.43
25.28,243.7,54.74
25.34,241.5,54.75
25.41,240.0,54.87
25.45,242.1,55.44
25.52,244.0,55.97
25.6,245.5,56.45
25.65,246.1,56.78
25.64,244.9,56.89
25.63,243.8,57.0
25.62,242.6,57.11
25.63,243.0,57.39
25.66,244.8,57.82
25.69,246.7,58.24
25.66,247.7,58.35
25.57,248.1,58.19
25.48,248.4,58.3
25.39,248.5,58.55
25.3,248.4,58.76
25.23,247.7,58.83
25.16,247.0,58.91
25.08,246.6,59.02
24.98,246.7,59.21
24.88,246.9,59.4
24.62,246.1,59.57
24.31,245.2,59.72
24.17,246.4,59.8
24.03,247.7,59.88
23.93,248.3,59.9
23.88,248.0,59.81
23.83,247.8,59.73
23.79,247.9,59.75
23.76,248.0,59.77
23.73,248.1,59.79
23.69,248.4,59.82
23.64,248.8,59.86
23.58,249.2,59.9
23.53,249.7,59.94
23.5,250.2,60.06
23.52,251.2,60.4
23.55,252.2,60.7
23.61,253.1,60.71
23.68,254.0,60.72
23.74,255.2,60.76
23.77,257.7,60.96
23.81,260.1,61.15
23.89,261.5,61.21
23.99,262.0,61.16
24.16,260.5,61.14
24.38,257.3,61.17
24.42,258.3,61.46
24.45,259.3,61.76
24.49,260.4,62.05
24.54,261.4,62.28
24.63,262.3,62.14
24.72,263.1,62.0
24.81,263.9,61.92
24.88,264.3,62.01
24.92,265.0,62.15
24.92,265.9,62.34
24.92,266.8,62.53
24.93,266.8,62.65
24.94,266.5,62.68
24.97,265.6,62.31
24.98,265.7,62.16
24.95,267.0,62.29
24.93,268.2,62.42
24.91,269.3,62.52
24.86,269.9,62.44
24.82,270.4,62.35
24.77,270.9,62.27
24.71,270.6,62.2
24.64,269.6,62.15
24.6,269.8,62.48
24.57,270.6,62.98
24.55,271.2,63.44
24.52,270.9,63.46
24.49,270.6,63.48
24.47,270.3,63.5
24.42,269.6,63.45
24.37,268.9,63.4
24.33,268.5,63.32
24.3,268.5,63.21
24.26,268.5,63.1
24.22,268.5,62.99
24.05,267.9,62.74
23.89,267.3,62.49
23.73,268.6,62.23
23.56,270.2,61.97
23.45,269.8,61.86
23.36,268.7,61.8
23.27,267.7,61.75
23.15,267.2,61.87
23.03,266.9,62.06
22.9,266.7,62.25
22.79,266.7,62.44
22.68,266.9,62.61
22.61,267.4,62.79
22.58,268.6,62.97
22.55,269.8,63.16
22.54,270.9,63.26
22.58,271.9,63.1
22.62,272.7,62.93
22.66,272.0,62.68
22.71,271.3,62.58
22.76,270.6,62.88
22.81,270.0,63.17
22.85,269.4,63.47
22.87,269.7,63.71
22.88,270.2,63.94
22.89,270.7,64.17
22.9,271.7,64.39
22.92,274.1,64.55
22.93,276.4,64.71
22.95,277.2,64.62
22.97,277.3,64.39
22.99,277.3,64.15
23.04,276.6,63.86
23.09,276.0,63.58
23.14,275.2,63.7
23.19,274.4,63.83
23.23,273.2,63.83
23.27,271.4,63.68
23.31,269.6,63.54
23.37,268.4,63.51
23.49,268.8,63.78
23.6,269.3,64.03
23.71,270.2,64.03
23.83,271.1,64.03
23.94,272.1,64.03
24.06,271.1,63.84
24.17,269.0,63.52
24.28,267.2,63.36
24.38,266.2,63.56
24.49,265.3,63.73
24.63,265.7,63.69
24.69,265.1,63.56
24.67,263.5,63.34
