TymeBreathRate,tidal_volume,TymeVentilation
22.34,309.7,58.91
22.21,308.3,58.85
22.08,306.8,58.8
21.93,305.2,58.74
21.77,303.4,58.68
21.62,301.7,58.61
21.49,300.4,58.56
21.37,299.0,58.51
21.25,297.7,58.46
21.2,297.2,58.44
21.15,296.6,58.42
21.1,296.1,58.4
21.05,295.5,58.38
21.0,294.9,58.36
20.94,294.4,58.34
20.89,293.8,58.32
20.69,291.5,58.23
20.48,289.3,58.15
20.39,288.2,58.11
20.29,287.2,58.08
20.2,286.2,58.04
20.11,285.2,58.0
20.03,284.3,57.97
19.95,283.4,57.93
19.86,282.5,57.9
19.78,281.6,57.87
19.64,279.6,57.79
19.49,276.9,57.69
19.51,275.6,57.64
19.52,274.2,57.59
19.55,272.8,57.54
19.77,270.6,57.46
19.97,268.6,57.39
20.1,267.6,57.35
20.23,266.6,57.31
20.36,265.6,57.27
20.49,264.6,57.24
20.75,263.3,57.19
21.02,262.1,57.14
21.28,260.9,57.1
21.84,258.6,57.02
22.5,256.0,56.92
22.88,253.9,56.84
23.25,251.3,56.58
23.57,247.0,55.57
23.89,242.7,54.57
24.61,241.8,55.09
25.2,241.9,55.8
25.57,241.7,56.19
25.82,243.4,56.53
26.05,245.5,56.87
26.31,247.6,57.35
26.75,249.3,58.37
27.04,249.0,58.84
27.29,248.1,59.15
27.53,246.8,59.37
27.76,242.2,58.8
27.98,237.6,58.23
28.12,232.1,57.76
28.25,226.5,57.29
28.46,220.8,56.58
28.63,215.9,55.94
28.7,212.3,55.43
28.77,208.6,54.92
28.73,209.0,55.0
28.66,210.1,55.21
28.6,211.3,55.41
28.5,211.4,55.52
28.31,208.3,55.34
28.12,206.8,55.56
27.94,207.4,56.33
27.8,208.1,57.06
27.72,208.9,57.72
27.64,209.7,58.28
27.62,209.7,58.12
27.59,209.8,57.96
27.57,209.8,57.81
27.54,209.6,57.6
27.49,208.9,57.31
27.42,209.4,57.23
27.33,211.2,57.35
27.33,212.2,57.11
27.4,212.6,56.66
27.4,213.1,56.88
27.41,213.7,57.1
27.41,214.2,57.32
27.41,215.4,57.5
27.42,219.2,57.52
27.43,221.9,57.45
27.44,221.0,57.08
27.51,220.4,56.76
27.69,220.3,56.56
27.88,220.6,56.4
28.09,224.3,56.74
28.29,227.3,56.97
28.42,227.0,56.57
28.55,226.7,56.17
28.58,226.4,56.24
28.59,226.0,56.4
28.48,225.5,56.49
28.37,225.1,56.57
28.27,225.1,56.68
28.17,226.5,56.87
28.02,229.8,57.09
27.79,234.5,57.32
27.49,235.3,57.2
27.21,235.8,57.05
27.03,234.9,56.66
26.85,233.9,56.26
26.65,235.1,56.28
26.42,238.4,56.72
26.2,240.9,57.0
26.0,240.4,56.7
25.79,240.0,56.39
25.58,239.7,56.12
25.37,239.8,55.94
25.16,239.9,55.75
24.96,238.8,55.77
24.77,236.5,55.98
24.65,235.5,56.02
24.56,235.5,55.95
24.48,235.6,55.88
24.4,235.6,55.81
24.3,236.4,55.97
24.17,238.5,56.48
24.04,240.6,56.99
23.84,241.2,57.17
23.59,240.5,57.03
23.34,239.9,56.9
23.13,240.5,56.89
22.93,241.6,56.92
22.73,242.7,56.94
22.5,244.0,57.01
22.15,245.9,57.19
21.8,247.9,57.37
21.35,249.1,56.91
21.01,250.9,56.55
20.92,254.0,56.61
20.83,257.1,56.67
20.77,260.4,56.83
20.75,264.0,57.11
20.72,267.7,57.39
20.72,268.9,57.19
20.73,270.1,56.96
20.73,271.3,56.74
20.73,272.5,56.52
20.83,273.5,56.24
20.93,274.3,55.95
21.04,275.2,55.67
21.16,276.0,55.71
21.29,276.8,55.93
21.42,277.5,56.15
21.56,278.3,56.37
21.69,278.9,56.57
21.85,278.7,56.63
22.0,278.4,56.69
22.15,278.2,56.75
22.26,278.4,57.04
22.35,278.8,57.46
22.44,279.2,57.88
22.49,280.2,58.2
22.52,280.8,58.42
22.35,277.2,57.43
22.2,274.1,56.81
22.06,271.4,56.62
21.92,268.7,56.43
21.74,267.3,56.62
21.46,269.0,57.66
21.16,270.6,58.59
20.84,272.2,59.17
20.64,272.5,59.39
20.51,272.0,59.38
20.39,271.6,59.37
20.35,271.0,59.32
20.35,270.4,59.26
20.36,269.8,59.19
20.37,269.2,59.14
20.47,269.3,59.24
20.58,269.4,59.33
20.68,269.5,59.43
20.79,269.6,59.52
20.9,269.9,59.6
21.0,270.2,59.67
21.11,270.5,59.75
21.21,270.9,59.82
21.33,270.7,59.82
21.46,270.0,59.73
21.59,269.3,59.63
21.72,268.6,59.54
21.86,268.2,59.48
21.99,268.1,59.45
22.13,267.9,59.42
22.26,267.8,59.39
22.41,267.8,59.39
22.68,269.3,59.67
22.84,269.7,60.0
22.84,268.3,60.39
22.85,267.0,60.77
22.92,266.7,60.93
23.02,266.7,61.03
23.27,267.1,60.99
23.5,268.2,61.05
23.69,270.7,61.27
23.88,273.2,61.48
24.12,274.0,61.2
24.38,273.7,60.59
24.78,271.2,59.72
25.23,268.6,58.82
25.72,268.8,58.23
26.09,269.0,57.87
