TymeBreathRate,tidal_volume,TymeVentilation
13.33,172.7,36.53
13.66,173.1,36.92
13.99,173.5,37.3
14.32,173.9,37.69
14.65,174.3,38.08
14.99,174.7,38.46
15.49,175.3,39.05
16.03,176.0,39.68
16.57,176.7,40.31
17.18,177.5,41.03
17.88,178.3,41.85
18.59,179.2,42.67
19.62,180.5,43.88
20.67,181.8,45.11
21.6,183.0,46.19
22.52,184.1,47.27
23.41,185.2,48.31
24.34,186.4,49.4
25.46,187.8,50.71
26.32,189.2,52.03
26.97,190.6,53.37
27.18,191.1,53.86
27.38,191.7,54.35
27.58,192.2,54.84
27.78,192.7,55.33
28.12,193.6,56.21
28.54,194.8,57.31
29.05,196.2,58.62
29.61,197.7,59.98
30.25,199.0,61.25
30.77,200.1,62.25
31.17,200.9,63.0
31.57,201.7,63.75
31.92,202.5,64.55
32.25,203.4,65.36
32.57,204.1,66.14
32.89,202.2,66.51
33.06,201.5,66.79
33.08,201.9,66.97
33.1,202.3,67.16
33.02,202.1,67.15
32.94,202.1,67.39
32.92,203.0,68.5
33.02,206.0,69.81
33.09,208.7,70.8
33.11,210.6,71.04
33.13,212.5,71.28
33.18,214.6,71.58
33.53,218.7,72.58
33.89,221.7,73.2
34.25,224.0,73.61
34.46,225.8,73.75
34.65,227.5,73.86
34.82,227.6,73.18
34.91,228.4,72.57
34.84,235.0,73.8
34.77,236.0,74.04
34.69,237.0,74.28
34.62,238.0,74.52
34.51,238.5,74.51
34.11,235.2,72.45
33.6,231.6,71.05
33.0,227.8,70.17
32.6,230.9,70.71
32.22,233.8,71.22
32.07,235.9,71.4
31.91,237.9,71.59
31.76,240.0,71.77
31.6,242.3,71.99
31.36,246.4,72.54
31.12,250.5,73.09
30.8,254.8,73.72
30.43,259.2,74.41
30.07,261.7,75.04
29.76,263.6,75.32
29.5,264.6,75.02
29.25,265.5,74.72
28.99,266.5,74.42
28.43,261.4,71.64
27.8,255.8,68.81
27.38,256.2,69.14
26.96,256.6,69.48
26.49,256.8,69.89
25.99,256.9,70.36
25.6,257.6,71.0
25.32,258.9,71.85
25.05,260.3,72.69
24.78,261.7,73.32
24.52,263.1,73.63
24.26,264.5,73.93
24.14,263.5,73.09
24.03,262.5,72.23
23.91,261.5,71.37
23.72,260.2,69.26
23.55,259.1,67.58
23.44,259.0,67.5
23.32,258.8,67.42
23.21,258.6,67.33
23.13,260.1,67.75
23.07,261.6,68.1
23.07,263.3,68.25
23.07,265.0,68.39
23.06,266.8,68.54
23.09,267.9,68.69
23.14,268.6,68.84
23.19,269.3,69.0
