TymeBreathRate,tidal_volume,TymeVentilation
24.03,203.6,50.81
24.05,204.6,50.76
24.07,205.5,50.7
23.99,203.9,50.28
23.9,202.2,49.86
23.8,201.6,49.58
23.69,201.3,49.35
23.69,201.2,49.46
23.7,201.1,49.61
23.71,200.9,49.75
23.82,199.7,49.65
24.05,197.1,49.25
24.28,195.4,49.0
24.5,195.0,49.0
24.72,194.6,49.0
24.94,194.2,49.0
25.3,193.5,48.83
25.76,192.6,48.52
26.26,192.1,48.27
26.85,192.4,48.16
27.27,192.5,48.07
27.53,192.6,48.0
27.79,192.6,47.93
28.04,192.7,47.87
28.31,194.3,47.9
28.53,195.0,47.86
28.5,191.2,47.38
28.42,188.3,47.17
28.28,186.5,47.25
28.15,185.4,47.34
28.06,184.8,47.39
28.07,185.4,47.35
28.09,186.2,47.29
28.11,187.2,47.23
28.13,188.2,47.17
28.15,189.3,47.11
28.18,189.4,47.02
28.21,189.5,46.92
28.25,189.6,46.82
28.28,188.2,46.5
28.31,186.5,46.1
28.34,185.0,45.76
28.34,184.4,45.63
28.35,183.8,45.49
28.35,183.2,45.35
28.32,183.2,45.55
28.23,183.9,46.24
28.13,184.6,46.72
27.98,185.1,46.67
27.84,185.5,46.62
27.69,185.1,46.66
27.52,184.3,46.74
27.33,183.8,46.81
27.03,184.1,46.85
26.74,184.4,46.9
26.43,184.7,46.84
26.12,185.0,46.77
25.78,184.3,46.71
25.41,182.4,46.65
25.03,180.5,46.6
24.86,181.0,46.79
24.69,181.6,46.98
24.51,182.1,47.16
24.36,183.0,47.32
24.24,184.6,47.42
24.23,186.1,47.48
24.34,187.6,47.52
24.46,189.4,47.64
24.59,191.5,47.85
24.72,193.1,47.93
24.84,193.1,47.65
24.96,193.2,47.37
25.02,193.2,46.96
25.06,193.2,46.46
25.1,193.2,45.97
25.14,193.2,45.47
25.15,193.9,45.46
25.15,194.8,45.64
25.16,195.7,45.81
25.18,196.9,45.94
25.21,198.2,46.06
25.27,197.1,46.1
25.34,195.9,46.14
25.39,194.9,46.2
25.42,194.9,46.32
25.44,194.8,46.44
25.46,194.7,46.57
25.48,194.9,46.71
25.5,196.0,46.9
25.52,197.1,47.1
25.53,198.2,47.3
25.48,200.0,47.84
25.42,201.9,48.37
25.37,201.9,48.5
25.31,201.8,48.6
25.24,201.7,48.77
25.14,201.6,49.02
25.04,201.5,49.27
24.94,201.5,49.38
24.84,200.9,49.4
24.75,199.2,49.31
24.67,198.1,49.28
24.62,200.6,49.56
24.57,203.0,49.83
24.5,203.9,49.71
24.42,204.3,49.47
24.34,204.7,49.23
24.27,205.2,49.17
24.19,205.8,49.23
24.12,206.4,49.29
24.03,206.8,49.37
23.94,207.1,49.47
23.96,205.9,49.4
24.03,204.1,49.26
24.09,202.3,49.12
24.19,201.6,49.06
24.31,201.6,49.05
24.44,201.5,49.04
24.56,201.5,49.03
24.66,202.4,49.16
24.75,203.4,49.32
24.84,204.4,49.47
24.91,205.1,49.62
24.98,205.7,49.77
25.09,202.0,48.59
25.12,198.8,47.72
25.06,198.4,47.82
25.0,197.9,47.92
24.94,197.8,48.01
24.84,199.6,48.13
24.74,201.5,48.23
24.64,202.2,48.14
24.59,202.5,48.11
24.58,202.2,48.13
24.6,202.2,48.14
24.63,202.4,48.16
24.67,202.5,48.16
24.74,202.7,48.15
24.81,203.0,48.14
24.87,203.0,48.13
24.93,202.9,48.13
24.99,202.7,48.13
25.05,202.6,48.13
25.11,203.4,48.21
25.17,204.2,48.3
25.24,205.1,48.39
25.3,205.9,48.47
25.39,205.4,48.42
25.49,204.2,48.29
25.58,203.4,48.21
25.6,203.7,48.26
25.63,204.0,48.31
25.56,203.0,48.2
25.41,200.9,47.95
25.26,200.2,47.89
25.11,200.8,48.0
24.96,201.5,48.12
24.81,202.1,48.22
24.71,202.7,48.29
24.61,203.3,48.36
24.46,204.1,48.43
24.28,205.0,48.5
24.15,206.1,48.35
24.07,207.5,48.03
24.09,206.8,47.67
24.18,204.4,47.28
24.26,202.5,46.94
24.34,201.1,46.67
24.41,199.8,46.41
24.48,198.5,46.15
24.57,198.6,46.04
24.66,200.5,46.14
24.75,202.4,46.24
24.84,202.7,46.05
24.94,202.6,45.76
24.99,202.9,45.5
25.02,203.7,45.25
25.02,203.8,45.21
25.01,203.7,45.18
24.98,202.9,45.08
24.91,200.5,44.86
24.84,198.2,44.63
24.73,197.5,44.7
24.62,196.7,44.77
24.51,196.0,44.85
24.36,196.2,45.19
24.09,199.8,46.51
23.93,200.5,46.87
23.84,199.4,46.59
23.75,198.3,46.31
23.68,198.2,46.21
23.61,198.2,46.13
23.58,197.8,46.07
23.57,197.1,46.03
23.55,196.3,45.98
23.54,195.6,45.94
23.52,195.8,46.03
23.49,195.9,46.13
23.47,196.0,46.23
23.44,196.8,46.53
23.41,198.1,46.98
23.38,199.4,47.44
23.32,200.8,47.74
23.26,202.4,48.01
23.19,203.9,48.28
23.14,205.0,48.43
23.13,205.2,48.31
23.12,205.2,48.18
23.16,201.3,47.74
23.19,199.7,47.62
23.22,199.3,47.64
23.25,198.8,47.67
23.29,198.3,47.7
23.38,200.6,47.9
23.48,202.7,48.06
23.56,203.2,48.05
23.63,203.7,48.03
23.7,204.2,48.01
23.78,204.8,48.22
23.84,205.4,48.71
23.91,206.0,49.21
24.01,206.2,49.6
24.11,206.4,49.96
24.27,206.1,50.12
24.45,205.6,50.23
24.55,205.8,50.22
24.63,206.3,50.14
24.71,206.8,50.07
24.78,207.4,50.0
24.86,207.4,49.99
24.94,207.0,50.03
25.01,206.7,50.08
25.07,206.7,50.13
25.13,206.7,50.18
25.14,205.2,49.97
25.14,203.2,49.64
25.13,201.3,49.38
25.14,199.5,49.2
25.14,197.7,49.01
25.26,196.3,48.63
25.38,195.1,48.46
25.5,194.4,48.59
25.61,193.6,48.73
25.71,193.6,48.94
25.74,196.0,49.41
25.77,198.5,49.88
25.75,199.5,49.91
25.74,200.6,49.93
25.76,200.0,49.92
25.8,198.2,49.89
25.83,196.9,49.93
25.8,197.3,50.19
25.77,197.6,50.45
25.73,197.9,50.71
25.63,197.4,50.86
25.52,197.0,51.0
25.42,196.4,51.13
25.35,195.9,51.24
25.32,195.6,51.37
25.3,195.6,51.5
25.28,195.8,51.64
25.27,196.0,51.78
25.25,195.9,51.87
25.21,194.4,51.65
25.17,192.8,51.43
25.14,191.3,51.22
25.06,192.3,51.68
24.97,194.0,52.34
24.97,193.6,52.38
24.98,193.0,52.39
25.04,193.1,52.66
25.15,193.5,53.08
25.25,193.9,53.49
25.35,194.3,53.9
25.46,195.5,54.04
25.58,196.5,54.12
25.67,195.3,53.7
25.76,194.1,53.27
25.87,191.9,52.76
25.99,188.3,52.13
26.12,186.2,51.9
26.28,186.7,52.36
26.44,187.3,52.82
26.61,188.0,53.21
26.81,189.1,53.54
27.0,190.1,53.87
27.26,189.7,53.84
27.56,188.1,53.68
27.94,185.0,53.42
28.34,183.5,53.48
28.78,184.4,54.0
29.22,185.2,54.48
29.66,183.3,53.59
30.06,181.6,52.87
30.35,181.1,52.75
30.7,181.1,52.66
31.1,181.6,52.6
31.62,179.8,52.51
31.99,179.0,52.49
32.25,179.0,52.54
32.51,179.0,52.55
32.78,179.1,52.51
32.95,179.0,52.76
33.08,179.3,53.03
33.16,180.1,53.28
33.25,180.9,53.52
33.32,182.6,53.86
33.36,186.7,54.47
33.38,187.7,54.47
33.37,186.6,54.09
33.31,183.2,53.55
33.21,179.9,53.18
33.01,179.5,53.5
32.81,179.0,53.82
32.59,179.4,53.8
32.37,179.9,53.77
31.98,180.5,53.54
31.63,180.9,53.36
31.4,180.8,53.35
31.17,180.8,53.33
30.94,180.7,53.31
