skin_temperature,HeatStrainIndex,hrv
31.85,0.0,623:620
31.85,0.0,621
31.85,0.0,623:625
31.85,0.0,624:620
31.85,0.0,615:623
31.85,0.0,629
31.85,0.0,626:617
31.85,0.0,625
31.85,0.0,620:559
31.85,0.0,660:614
31.85,0.0,606
31.85,0.0,606:612
31.85,0.0,606
31.9,0.0,603:603
31.85,0.0,603:596
31.85,0.0,596
31.85,0.0,593:591
31.85,0.0,586:582
31.85,0.0,582
31.85,0.0,574:572
31.85,0.0,564:565
31.85,0.0,565:565
31.85,0.0,563:560
31.85,0.0,560:560
31.85,0.0,560
31.85,0.0,556:556
31.9,0.0,556:555
31.9,0.0,554:552
31.85,0.0,551:550
31.9,0.0,
31.85,0.0,550:551:549
31.85,0.0,550:549
31.85,0.0,547:546
31.85,0.0,546
31.85,0.0,541:544
31.85,0.0,540:541
31.85,0.0,541:542
31.85,0.0,536:540
31.85,0.0,537:535
31.85,0.0,532:529
31.85,0.0,535:537
31.9,0.0,536:537
31.85,0.0,536
31.85,0.0,535:532
31.85,0.0,532:532
31.85,0.0,535:533
31.85,0.0,533:529
31.85,0.0,531:532
31.85,0.0,533
31.85,0.0,532:528:528
31.85,0.0,532
31.85,0.0,531:528
31.9,0.0,527:527
31.9,0.0,529:529
31.9,0.0,527:524
31.85,0.0,526:527
31.85,0.0,526:524
31.85,0.0,524:524
31.85,0.0,521:517
31.85,0.0,515:519
31.9,0.0,521
31.9,0.0,524
31.9,0.0,526:527:526
31.9,0.0,523:523
31.85,0.0,524:526
31.85,0.0,524:521
31.85,0.0,523
31.85,0.0,1052:527
31.9,0.0,522:521
31.9,0.0,527:523
31.9,0.0,522
31.9,0.0,522:523:522
31.85,0.0,522:522
31.85,0.0,521
31.85,0.0,518:517
31.85,0.0,521:523
31.85,0.0,527:532
31.9,0.0,532:529
31.85,0.0,528:535
31.85,0.0,533:533
31.85,0.0,529
31.9,0.0,529:528
31.9,0.0,532:532
31.9,0.0,532:527
31.9,0.0,529:532
31.85,0.0,529:529
31.9,0.0,527:529
31.85,0.0,531:528
31.9,0.0,524:524
31.85,0.0,527:532
31.85,0.0,536:536
31.85,0.0,536
31.85,0.0,532:533
31.85,0.0,536:535
31.85,0.0,529:529
31.85,0.0,532:532
31.85,0.0,467:505
31.85,0.0,513:570
31.85,0.0,523
31.85,0.0,519:584
31.85,0.0,524:529
31.85,0.0,528:528
31.85,0.0,528:526
31.85,0.0,527:527
31.85,0.0,522:521
31.85,0.0,519:523
31.85,0.0,524:524
31.85,0.0,521:518
31.85,0.0,526:527
31.85,0.0,532
31.85,0.0,532:532
31.85,0.0,529:529
31.85,0.0,538:541
31.85,0.0,537:537
31.85,0.0,541:541
31.85,0.0,540
31.85,0.0,536:541
31.85,0.0,538:533
31.85,0.0,532:531
31.85,0.0,549:550
31.9,0.0,545:542
31.85,0.0,540:542
31.85,0.0,541:540
31.9,0.0,541
31.85,0.0,542:541
31.85,0.0,544:540
31.85,0.0,537:575
31.85,0.0,508:558
31.85,0.0,560:558
31.85,0.0,555
31.85,0.0,550:551
31.85,0.0,550:547
31.85,0.0,541:541
31.85,0.0,546
31.85,0.0,549:550
31.85,0.0,547:546
31.85,0.0,551:554
31.85,0.0,559:558
31.85,0.0,558:555
31.85,0.0,550:555
31.85,0.0,555
31.85,0.0,552:550
31.85,0.0,546:549
31.85,0.0,545:546
31.85,0.0,544:541
31.85,0.0,541
31.85,0.0,541:545
31.85,0.0,538:536
31.85,0.0,535
31.85,0.0,532:529:536
31.85,0.0,542:546
31.85,0.0,551
31.85,0.0,551:549:547
31.85,0.0,546
31.85,0.0,550:552
31.85,0.0,552:550
31.9,0.0,486:508
31.85,0.0,527:526
31.85,0.0,527:654
31.85,0.0,549
31.85,0.0,544:606
31.85,0.0,550:550
31.85,0.0,547
31.85,0.0,550:551
31.85,0.0,549:556
31.85,0.0,555:551
31.85,0.0,546:551
31.85,0.0,555
31.85,0.0,564:565:563
31.85,0.0,561
31.85,0.0,558:550
31.85,0.0,552:552
31.85,0.0,547:545
31.85,0.0,544:547
31.85,0.0,546
31.85,0.0,542:541
31.85,0.0,541:541
31.85,0.0,550:554
31.85,0.0,560:555
31.85,0.0,
31.85,0.0,1110:555
31.85,0.0,555:556
31.85,0.0,555:555
31.85,0.0,556
31.85,0.0,555:550:552
31.85,0.0,552
31.85,0.0,552:552
31.85,0.0,1077
31.85,0.0,542:541
31.85,0.0,538:540
31.85,0.0,535
31.85,0.0,535:538
31.85,0.0,537:540
31.85,0.0,538:540
31.85,0.0,537:533
31.85,0.0,538:541
31.85,0.0,549
31.85,0.0,555:555
31.85,0.0,551:547
31.85,0.0,546:554
31.85,0.0,555:554
31.85,0.0,549:546
31.85,0.0,542:550
31.85,0.0,554
31.85,0.0,554:551
31.85,0.0,555:555
31.85,0.0,552:552
31.85,0.0,558:555
31.85,0.0,555
31.85,0.0,556:551
31.85,0.0,547
31.9,0.0,550:558:560
31.85,0.0,564
31.85,0.0,560:561
31.85,0.0,563:556
31.9,0.0,559:560
31.9,0.0,495
31.85,0.0,497:532
31.85,0.0,1062:531
31.85,0.0,763
31.85,0.0,563:563
31.85,0.0,555:555
31.85,0.0,556
31.85,0.0,560:563
31.85,0.0,556:552
31.85,0.0,546:546
31.85,0.0,541:540
31.9,0.0,536:533
31.85,0.0,540
31.85,0.0,549:552
31.85,0.0,555:555
31.85,0.0,550:546
31.85,0.0,552:552
31.85,0.0,550
31.9,0.0,550:554
31.85,0.0,552:551
31.85,0.0,550:551
31.9,0.0,549:546
31.85,0.0,549:550
31.85,0.0,
31.85,0.0,1095:546
31.85,0.0,545:546
31.85,0.0,541:537
31.85,0.0,540:544
31.85,0.0,546:546
31.85,0.0,547
31.9,0.0,544:545
31.9,0.0,532:546
31.85,0.0,545
31.9,0.0,546:546
31.85,0.0,541:546:550
31.9,0.0,555:550
31.85,0.0,552
31.85,0.0,555:555
31.85,0.0,552:555
31.85,0.0,558:550
31.85,0.0,547:547
31.85,0.0,550
31.85,0.0,549:546
31.85,0.0,542:546
31.9,0.0,545:545
31.85,0.0,544
31.85,0.0,544:546
31.85,0.0,544:538
31.9,0.0,549:555
31.85,0.0,556:556
31.85,0.0,555:550
31.85,0.0,550:546
31.85,0.0,544:537
31.85,0.0,536
31.9,0.0,533:532
31.9,0.0,531:531
31.85,0.0,532:532
31.85,0.0,537:544
31.85,0.0,546:550
31.85,0.0,554
31.85,0.0,554:546
31.85,0.0,552:555
31.85,0.0,555:559
31.85,0.0,563
31.85,0.0,
31.85,0.0,1669:551
31.85,0.0,554
31.85,0.0,555:550:550
31.85,0.0,550:546
31.85,0.0,546:547
31.9,0.0,542
31.85,0.0,546:551
31.85,0.0,546:544
31.85,0.0,549:550
31.85,0.0,555:559
31.85,0.0,560
31.85,0.0,556:550
31.9,0.0,550:550
31.85,0.0,550:551
31.85,0.0,546
31.85,0.0,545
31.85,0.0,1095:546
31.85,0.0,542:541
31.9,0.0,541:544
31.9,0.0,546:555
31.9,0.0,554:552
31.85,0.0,556
31.9,0.0,558:554
31.9,0.0,547:550
31.85,0.0,547:549
31.85,0.0,481:483
31.85,0.0,521:521
31.85,0.0,521:521
31.85,0.0,219:545
31.85,0.0,546:547
31.85,0.0,544:546
31.85,0.0,547
31.85,0.0,550:549
31.85,0.0,545:546
31.85,0.0,550:547
31.85,0.0,542:541
31.85,0.0,542:544
31.85,0.0,547:551
31.85,0.0,547:549
31.85,0.0,547
31.85,0.0,546:544
31.85,0.0,546:546
31.85,0.0,546
31.85,0.0,1090:549
31.85,0.0,546
31.85,0.0,541:541
31.85,0.0,541:544
31.85,0.0,538:541
31.9,0.0,538:541
31.85,0.0,546:545
31.85,0.0,545
31.85,0.0,542:541:537
31.85,0.0,541
31.85,0.0,541:541
31.85,0.0,537:541
31.85,0.0,541:532
31.85,0.0,544:536
31.85,0.0,535:535
31.85,0.0,533
31.85,0.0,532:527
31.85,0.0,531:536
31.85,0.0,537:536
31.85,0.0,537
31.85,0.0,536:532:532
31.85,0.0,535
31.85,0.0,536:533
31.85,0.0,531:532
31.85,0.0,535:536
31.85,0.0,533:532
31.85,0.0,537:537
31.85,0.0,540:533
31.85,0.0,537:537
31.85,0.0,538:536
31.85,0.0,538
31.85,0.0,538:535
31.85,0.0,533:536
31.85,0.0,533:532
31.85,0.0,529:532
31.85,0.0,535
31.85,0.0,531:527
31.85,0.0,527:527
31.85,0.0,527:529
31.85,0.0,531:527
31.85,0.0,527:529
31.85,0.0,531:532
31.85,0.0,532:566
31.85,0.0,501:536
31.85,0.0,531:526
31.85,0.0,531:529
31.85,0.0,527:521
31.85,0.0,521:521
31.85,0.0,515
31.85,0.0,521:518
31.85,0.0,514
31.85,0.0,514:512:509
31.85,0.0,513:513
31.85,0.0,514:518
31.85,0.0,515:523
31.85,0.0,524:527
31.85,0.0,531:532
31.85,0.0,527:529
31.85,0.0,532:532
31.85,0.0,536:540
31.85,0.0,538
31.85,0.0,537:538
31.85,0.0,542:538
31.85,0.0,541:545
31.85,0.0,540:542
31.85,0.0,542
31.85,0.0,542:537
31.85,0.0,540:541
31.85,0.0,542:540
31.85,0.0,537:540
31.8,0.0,542:544
31.8,0.0,537
31.85,0.0,1078
31.85,0.0,535:544
31.85,0.0,538:537
31.85,0.0,535:532
31.85,0.0,531:532
31.85,0.0,528:532
31.85,0.0,529:532
31.85,0.0,528:531
31.85,0.0,533:533
31.8,0.0,532
31.85,0.0,532:533
31.85,0.0,536:538
31.85,0.0,532:535
31.85,0.0,535:535
31.85,0.0,535
31.85,0.0,532:532
31.85,0.0,535:536
31.8,0.0,540:540
31.85,0.0,533:537
31.85,0.0,538:540
31.85,0.0,537:536
31.85,0.0,538:537
31.8,0.0,536:537
31.8,0.0,537
31.8,0.0,538:532
31.8,0.0,535:537
31.8,0.0,537:535
31.8,0.0,532:532
31.85,0.0,537:540
31.85,0.0,540:538
31.85,0.0,537
31.85,0.0,528:537
31.8,0.0,532:537
31.8,0.0,531
31.8,0.0,1065:533
31.8,0.0,531:532
31.8,0.0,533:533
31.8,0.0,532:536
31.85,0.0,537:541
31.8,0.0,537
31.8,0.0,538:541
31.8,0.0,544
31.8,0.0,545
31.8,0.0,
31.8,0.0,2688:541
31.8,0.0,537
31.8,0.0,537:537
31.8,0.0,537:535
31.8,0.0,533:537
31.8,0.0,537:540
31.8,0.0,533:537
31.8,0.0,540:542
31.8,0.0,537:535
31.8,0.0,537
31.8,0.0,541:541
31.8,0.0,545:538
31.8,0.0,538:540
31.8,0.0,537:537
31.8,0.0,536:536
31.8,0.0,532
31.8,0.0,529:535
31.8,0.0,531:535
31.8,0.0,531:527
31.8,0.0,527:527
