time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,heat_strain_index,HeatStrainIndex,PercentageinZ2
0,226,72,94,8.83,8.827,22,30,,37.07,,,0.0,0.0,2.45459E-4
1,225,72,96,17.65,8.827,22,30,623:620,37.07,31.85,,0.0,0.0,4.90918E-4
2,222,73,96,26.48,8.827,22,29,621,37.07,31.85,,0.0,0.0,7.36377E-4
3,222,72,96,35.31,8.827,22,29,623:625,37.07,31.85,,0.0,0.0,9.81836E-4
4,223,70,96,44.14,8.827,22,30,624:620,37.07,31.85,,0.0,0.0,0.001227295
5,224,69,97,52.96,8.827,22,31,615:623,37.07,31.85,21.26,0.0,0.0,0.001472754
6,225,69,96,61.8,8.827,22,31,629,37.07,31.85,21.26,0.0,0.0,0.0017182131
7,225,69,96,70.62,8.827,22,31,626:617,37.07,31.85,21.26,0.0,0.0,0.001963672
8,223,70,96,79.44,8.827,22,30,625,37.07,31.85,21.26,0.0,0.0,0.0022091311
9,223,68,96,88.27,8.827,22,31,620:559,37.07,31.85,21.26,0.0,0.0,0.00245459
10,225,69,96,97.1,8.827,22,31,660:614,37.07,31.85,24.21,0.0,0.0,0.0027000492
11,224,69,96,105.92,8.827,22,31,606,37.07,31.85,24.21,0.0,0.0,0.002945508
12,223,69,98,114.76,8.827,22,31,606:612,37.07,31.85,24.21,0.0,0.0,0.003190967
13,225,69,98,123.58,8.827,22,31,606,37.07,31.85,24.21,0.0,0.0,0.0034364262
14,226,70,99,132.4,8.827,22,31,603:603,37.07,31.9,24.21,0.0,0.0,0.003681885
15,223,70,99,141.24,8.827,22,30,603:596,37.07,31.85,25.2,0.0,0.0,0.003927344
16,224,70,100,150.06,8.827,22,31,596,37.07,31.85,25.2,0.0,0.0,0.0041728034
17,226,70,101,158.88,8.827,22,31,593:591,37.07,31.85,25.2,0.0,0.0,0.0044182623
18,223,70,102,167.71,8.827,22,30,586:582,37.07,31.85,25.2,0.0,0.0,0.004663721
19,224,70,102,176.54,8.827,22,31,582,37.07,31.85,25.2,0.0,0.0,0.00490918
20,223,70,104,185.36,8.827,22,30,574:572,37.07,31.85,26.24,0.0,0.0,0.005154639
21,225,70,105,194.19,8.827,22,31,564:565,37.07,31.85,26.24,0.0,0.0,0.0054000984
22,226,70,106,203.03,8.827,22,31,565:565,37.07,31.85,26.24,0.0,0.0,0.0056455573
23,225,71,106,211.84,8.827,22,30,563:560,37.07,31.85,26.24,0.0,0.0,0.005891016
24,223,71,107,220.67,8.827,22,30,560:560,37.07,31.85,26.24,0.0,0.0,0.006136475
25,223,71,107,229.5,8.827,22,30,560,37.07,31.85,25.37,0.0,0.0,0.006381934
26,223,71,107,238.32,8.827,22,30,556:556,37.07,31.85,25.37,0.0,0.0,0.0066273934
27,225,70,108,247.16,8.827,22,31,556:555,37.07,31.9,25.37,0.0,0.0,0.0068728523
28,225,71,108,255.99,8.827,22,30,554:552,37.07,31.9,25.37,0.0,0.0,0.0071183112
29,223,71,109,264.81,8.827,22,30,551:550,37.07,31.85,25.37,0.0,0.0,0.00736377
30,223,70,109,273.63,8.827,22,30,,37.07,31.9,25.37,0.0,0.0,0.007609229
31,223,70,109,282.47,8.827,22,30,550:551:549,37.07,31.85,26.36,0.0,0.0,0.007854688
32,224,70,109,291.29,8.827,22,31,550:549,37.07,31.85,26.36,0.0,0.0,0.008100147
33,225,70,109,300.12,8.827,22,31,547:546,37.07,31.85,26.36,0.0,0.0,0.008345607
34,226,70,110,308.95,8.827,22,31,546,37.07,31.85,26.36,0.0,0.0,0.008591065
35,224,70,110,317.77,8.827,22,31,541:544,37.07,31.85,27.02,0.0,0.0,0.008836525
36,224,72,111,326.59,8.827,22,30,540:541,37.07,31.85,27.02,0.0,0.0,0.009081983
37,226,72,111,335.46,8.827,22,30,541:542,37.07,31.85,27.02,0.0,0.0,0.009327442
38,222,72,111,344.25,8.827,22,29,536:540,37.07,31.85,27.02,0.0,0.0,0.009572902
39,221,72,111,353.07,8.827,22,29,537:535,37.07,31.85,27.02,0.0,0.0,0.00981836
40,224,69,112,361.9,8.827,22,31,532:529,37.07,31.85,27.46,0.0,0.0,0.01006382
41,224,69,112,370.73,8.827,22,31,535:537,37.07,31.85,27.46,0.0,0.0,0.010309278
42,225,70,112,379.56,8.827,22,31,536:537,37.07,31.9,27.46,0.0,0.0,0.010554737
43,223,70,112,388.39,8.827,22,30,536,37.07,31.85,27.46,0.0,0.0,0.010800197
44,224,70,112,397.21,8.827,22,31,535:532,37.07,31.85,27.46,0.0,0.0,0.011045655
45,223,69,112,406.06,8.827,22,31,532:532,37.07,31.85,26.18,0.0,0.0,0.011291115
46,224,69,112,414.89,8.827,22,31,535:533,37.07,31.85,26.18,0.0,0.0,0.011536573
47,224,69,112,423.7,8.827,22,31,533:529,37.07,31.85,26.18,0.0,0.0,0.011782032
48,223,70,113,432.51,8.827,22,30,531:532,37.07,31.85,26.18,0.0,0.0,0.012027492
49,225,70,113,441.34,8.827,22,31,533,37.07,31.85,26.18,0.0,0.0,0.01227295
50,225,69,113,450.18,8.827,21,31,532:528:528,37.07,31.85,25.33,0.0,0.0,0.01251841
51,224,70,113,459.0,8.827,21,31,532,37.07,31.85,25.33,0.0,0.0,0.012763868
52,225,70,113,467.82,8.827,21,31,531:528,37.07,31.85,25.33,0.0,0.0,0.013009327
53,222,70,113,476.66,8.827,21,30,527:527,37.07,31.9,25.33,0.0,0.0,0.013254787
54,224,69,113,485.48,8.827,21,31,529:529,37.07,31.9,25.33,0.0,0.0,0.013500245
55,227,68,113,494.31,8.827,21,32,527:524,37.07,31.9,24.36,0.0,0.0,0.013745705
56,226,71,114,503.13,8.827,21,30,526:527,37.07,31.85,24.36,0.0,0.0,0.013991163
57,224,72,114,511.97,8.827,21,30,526:524,37.07,31.85,24.36,0.0,0.0,0.0142366225
58,224,72,114,520.79,8.827,21,30,524:524,37.07,31.85,24.36,0.0,0.0,0.014482082
59,223,72,115,529.61,8.827,21,30,521:517,37.07,31.85,24.36,0.0,0.0,0.01472754
60,224,71,116,538.45,8.827,21,30,515:519,37.07,31.85,24.12,0.0,0.0,0.014973
61,223,71,116,547.27,8.827,21,30,521,37.07,31.9,24.12,0.0,0.0,0.015218458
62,224,71,115,556.09,8.827,21,30,524,37.07,31.9,24.12,0.0,0.0,0.0154639175
63,223,72,114,564.93,8.827,21,30,526:527:526,37.07,31.9,24.12,0.0,0.0,0.015709376
64,224,72,114,573.75,8.827,21,30,523:523,37.07,31.9,24.12,0.0,0.0,0.015954835
65,224,71,114,582.57,8.827,21,30,524:526,37.07,31.85,25.13,0.0,0.0,0.016200295
