skin_temperature,HeatStrainIndex,hrv
31.85,0.0,638
31.85,0.0,643:646
31.85,0.0,643
31.8,0.0,651:658
31.85,0.0,648
31.85,0.0,670:667
31.85,0.0,1314:652
31.8,0.0,646
31.8,0.0,638:626
31.85,0.0,628
31.8,0.0,630:632
31.8,0.0,626:617
31.8,0.0,616:620
31.85,0.0,624
31.85,0.0,617:617
31.8,0.0,619
31.8,0.0,616:612
31.8,0.0,614:614
31.8,0.0,611
31.8,0.0,606
31.8,0.0,607:611
31.8,0.0,606:605
31.8,0.0,605:606
31.8,0.0,602
31.8,0.0,600:601
31.8,0.0,597:591
31.8,0.0,584
31.8,0.0,588:584
31.8,0.0,597:606
31.8,0.0,606:600
31.8,0.0,601
31.8,0.0,609:620
31.8,0.0,624
31.8,0.0,615
31.8,0.0,652:561:603
31.8,0.0,600
31.8,0.0,592
31.8,0.0,588:587:579
31.8,0.0,575
31.8,0.0,574:573
31.8,0.0,569:564
31.8,0.0,560:560
31.8,0.0,561:564
31.8,0.0,568:573
31.8,0.0,569
31.8,0.0,566:566
31.8,0.0,568:569
31.8,0.0,573:578
31.8,0.0,583
31.8,0.0,578:584
31.8,0.0,592:584
31.8,0.0,583
31.8,0.0,580:579
31.8,0.0,587:589
31.8,0.0,586
31.8,0.0,588:587
31.8,0.0,588:583
31.8,0.0,584
31.75,0.0,587:583
31.75,0.0,582:578
31.75,0.0,582:583
31.8,0.0,583:579
31.8,0.0,575
31.8,0.0,574:566
31.8,0.0,574:570
31.8,0.0,575
31.8,0.0,574:569
31.8,0.0,575
31.75,0.0,1184
31.8,0.0,603:603
31.75,0.0,598:593
31.75,0.0,592
31.8,0.0,597:597
31.75,0.0,591:591
31.75,0.0,588
31.75,0.0,584:578
31.8,0.0,578:579
31.75,0.0,583:580
31.75,0.0,578:584
31.8,0.0,598
31.8,0.0,603:601
31.75,0.0,606
31.75,0.0,612:605
31.75,0.0,603:605
31.75,0.0,598
31.75,0.0,589:586
31.75,0.0,579:586
31.75,0.0,588
31.75,0.0,587:580
31.75,0.0,583:583
31.75,0.0,578:577
31.75,0.0,569
31.75,0.0,574:574
31.75,0.0,572:512
31.75,0.0,628:573
31.75,0.0,572:563
31.75,0.0,566
31.75,0.0,574:582
31.75,0.0,595:601
31.75,0.0,601
31.75,0.0,611:617
31.75,0.0,612:606
31.75,0.0,609
31.75,0.0,603:592
31.75,0.0,586
31.75,0.0,583
