skin_temperature,HeatStrainIndex,hrv
32.45,0.0,603:598
32.45,0.0,598:596
32.45,0.0,589
32.5,0.0,583:586
32.5,0.0,587:587
32.45,0.0,583
32.45,0.0,579:584
32.45,0.0,586:593
32.45,0.0,601
32.45,0.0,600:592
32.45,0.0,538:643
32.45,0.0,609:611
32.45,0.0,615
32.4,0.0,615
32.45,0.0,611:610:605
32.45,0.0,605
32.45,0.0,603:595
32.4,0.0,592
32.4,0.0,588:583
32.4,0.0,578:574
32.4,0.0,573:569
32.4,0.0,565
32.4,0.0,563:561
32.4,0.0,560:554
32.4,0.0,556:555
32.4,0.0,556
32.4,0.0,555:488
32.4,0.0,540:541:597
32.4,0.0,555
32.35,0.0,629:563
32.4,0.0,556:559
32.35,0.0,554:554
32.35,0.0,554
32.35,0.0,551:546
32.35,0.0,547:546
32.35,0.0,541:538
32.35,0.0,533:538
32.35,0.0,540
32.35,0.0,541:537
32.35,0.0,540:538
32.35,0.0,535
32.3,0.0,540:537:537
32.35,0.0,540:538
32.35,0.0,537:535
32.3,0.0,536:532
32.3,0.0,533:531
32.3,0.0,531
32.3,0.0,528:527
32.3,0.0,521:518
32.3,0.0,524:528
32.3,0.0,527:524
32.25,0.0,523:521
32.3,0.0,521:518
32.25,0.0,519:522
32.25,0.0,523
32.25,0.0,521:522
32.25,0.0,527:527
32.25,0.0,521:527
32.25,0.0,535:527
32.25,0.0,544:536
32.25,0.0,509:537
32.25,0.0,560:527
32.25,0.0,523:527
32.25,0.0,533:532
32.25,0.0,527:524
32.2,0.0,518
32.2,0.0,517:519
32.2,0.0,518:521
32.2,0.0,518:515
32.2,0.0,509:508
32.2,0.0,512:513
32.2,0.0,514:518
32.2,0.0,1026
32.15,0.0,513:518
32.15,0.0,519:517
32.15,0.0,513:518
32.15,0.0,515:513
32.15,0.0,508:507
32.15,0.0,504:517
32.15,0.0,515:513
32.15,0.0,512:507
32.15,0.0,503:504
32.15,0.0,509:510
32.15,0.0,509
32.15,0.0,507:504
32.1,0.0,504:509
32.15,0.0,510:512
32.1,0.0,504:505
32.1,0.0,504:507
32.1,0.0,513:509
32.1,0.0,512:509
32.1,0.0,505:504
32.1,0.0,509:508
32.1,0.0,504:493
32.1,0.0,509:504
32.05,0.0,
32.1,0.0,
32.05,0.0,513:2029:512
32.05,0.0,509:507
32.05,0.0,504:504
32.05,0.0,512:513
32.05,0.0,513:510
32.05,0.0,509:504
32.05,0.0,1016
32.05,0.0,513:507
32.05,0.0,504:504
32.05,0.0,501:509
32.05,0.0,505:508
32.05,0.0,508
32.0,0.0,505:504:500
32.0,0.0,497:497
32.0,0.0,495:493
32.0,0.0,488:493
32.0,0.0,500:500
32.0,0.0,497:493
32.0,0.0,497:497
32.0,0.0,507:509
32.0,0.0,508:504
32.0,0.0,442:492
32.0,0.0,488:488
31.95,0.0,547:497
32.0,0.0,556:500
32.0,0.0,503:497
32.0,0.0,493:495
31.95,0.0,497:509
32.0,0.0,508:509
31.95,0.0,507:500
31.95,0.0,500:499
31.95,0.0,508:508
31.95,0.0,503:503
31.95,0.0,512:509
31.95,0.0,505:507
31.95,0.0,509:518
31.95,0.0,519
31.95,0.0,518
31.95,0.0,1034:518
31.95,0.0,515:514
31.9,0.0,518:517
31.95,0.0,513:509
31.9,0.0,510:514
31.9,0.0,522:526
31.9,0.0,523:521
31.9,0.0,518:517
31.9,0.0,521:518
31.9,0.0,517:513
31.9,0.0,513:518
31.9,0.0,518:517
31.9,0.0,513:518
31.9,0.0,515:515
31.9,0.0,575
31.9,0.0,540:535
31.9,0.0,528:529
31.9,0.0,535:535
31.85,0.0,532:527
31.9,0.0,529:532
31.9,0.0,528
31.85,0.0,527:537
31.9,0.0,540:537
31.85,0.0,536:540
31.9,0.0,550:556
31.85,0.0,552:549
31.85,0.0,549:546
31.85,0.0,545
31.85,0.0,546:545
31.85,0.0,540:535
31.85,0.0,538:542
31.85,0.0,545
31.85,0.0,546:544:545
31.85,0.0,547
31.85,0.0,547:546
31.85,0.0,547
31.85,0.0,549:545:542
31.8,0.0,542:550
31.8,0.0,554
31.8,0.0,550:544:546
31.8,0.0,550
31.8,0.0,550:545
31.8,0.0,542:550
31.85,0.0,549:541
31.85,0.0,546:540
31.8,0.0,546
31.8,0.0,546:541
31.8,0.0,536:533
31.8,0.0,538:533
31.8,0.0,529:526
31.8,0.0,521:523
31.75,0.0,523:518
31.8,0.0,517
31.75,0.0,519:531
31.75,0.0,533:537
31.75,0.0,532:537
31.75,0.0,542:541
31.75,0.0,537:538
31.75,0.0,535:537
31.75,0.0,540:537
31.75,0.0,533
31.75,0.0,540:541
31.75,0.0,540
31.75,0.0,1067:532
31.75,0.0,532:542
31.7,0.0,541:541
31.75,0.0,535:538
31.75,0.0,537:532
31.75,0.0,529
31.7,0.0,533:536
31.7,0.0,532:529
31.7,0.0,531:531
31.7,0.0,537:537
31.7,0.0,535:532
31.7,0.0,546:536
31.7,0.0,533
31.7,0.0,537:540
31.7,0.0,536:532
31.7,0.0,531:533
31.7,0.0,536:545
31.7,0.0,540:538
31.65,0.0,538:536
31.7,0.0,531:527
31.7,0.0,533
31.7,0.0,532:527
31.65,0.0,524:526
31.65,0.0,531:535
31.65,0.0,538:533
31.7,0.0,529:527
31.65,0.0,527
31.65,0.0,524:523:521
31.65,0.0,521:522
31.65,0.0,523:518
31.65,0.0,514
31.65,0.0,518:527
31.65,0.0,527:527
31.65,0.0,523:524
31.65,0.0,523:523
31.65,0.0,519:518
31.65,0.0,518:523
31.65,0.0,523:524
31.65,0.0,523:524
31.65,0.0,533
31.65,0.0,537:529
31.65,0.0,535:537
31.65,0.0,533:531
31.65,0.0,532:532
31.65,0.0,532:526
31.65,0.0,524:526
31.65,0.0,523:535
31.65,0.0,536:533
31.65,0.0,531:532
31.6,0.0,532
31.6,0.0,528:524
31.65,0.0,526:523
31.6,0.0,519:518
31.6,0.0,517:514
31.6,0.0,521:523
31.6,0.0,527:523
31.6,0.0,521:521
31.6,0.0,528:529
31.6,0.0,528
31.6,0.0,523:527:527
31.6,0.0,523:519
31.55,0.0,514
31.6,0.0,517:519
31.6,0.0,526:526
31.6,0.0,521:517
31.6,0.0,521:519
31.6,0.0,518:517
31.55,0.0,514:513
31.55,0.0,514:517
31.55,0.0,513:509
31.55,0.0,451:500
31.55,0.0,497:499
31.55,0.0,497:499
31.55,0.0,671
31.55,0.0,517:522
31.55,0.0,521:521:519
31.55,0.0,522
31.55,0.0,521:518
31.55,0.0,515:521
31.55,0.0,521:522
31.55,0.0,518:519
31.55,0.0,519:527
31.55,0.0,528:527
31.5,0.0,528:527
31.5,0.0,526
31.55,0.0,521:521
31.5,0.0,521:526
31.5,0.0,531:528
31.5,0.0,527:524
31.5,0.0,527:527
31.5,0.0,526:529
31.5,0.0,1052
31.5,0.0,528
31.5,0.0,528:517
31.5,0.0,536:523:523
31.5,0.0,529:531
31.5,0.0,532
31.5,0.0,526:533
31.5,0.0,529:526
31.5,0.0,529:526
31.5,0.0,522:547
31.5,0.0,499:523
31.5,0.0,523:523
31.45,0.0,523:523
31.5,0.0,524
31.45,0.0,523:521
31.5,0.0,522:522
31.45,0.0,523:517
31.45,0.0,515:510
31.45,0.0,521:523
31.45,0.0,526:521
31.45,0.0,518:523
31.45,0.0,523:523
31.45,0.0,523:523
31.45,0.0,523:526
31.45,0.0,522:519
31.45,0.0,514:510
31.45,0.0,510:505
31.45,0.0,505:504
31.45,0.0,507:504
31.45,0.0,504
31.45,0.0,500:503
31.4,0.0,500:504
31.4,0.0,501:504
31.4,0.0,503:501
31.4,0.0,505:504:504
31.4,0.0,501
31.4,0.0,501:505:505
31.4,0.0,508:504
31.4,0.0,508
31.4,0.0,505:504
31.4,0.0,500:503
31.4,0.0,499:504
31.4,0.0,500:503
31.4,0.0,497:497
31.4,0.0,501:500
31.4,0.0,500:497
31.4,0.0,504:442
31.4,0.0,485:504
31.4,0.0,500:500
31.4,0.0,495:512
31.4,0.0,503:500:504
31.4,0.0,505:501
31.4,0.0,501:504
31.4,0.0,500:499
31.4,0.0,558
31.4,0.0,497:500
31.4,0.0,500:500
31.4,0.0,500:500
31.4,0.0,499:497
31.4,0.0,495:492
31.4,0.0,497:495
31.4,0.0,495:490
31.4,0.0,490:488
31.35,0.0,490:490
31.35,0.0,492
31.4,0.0,492:981
31.35,0.0,495:495:499
31.35,0.0,493:495
31.35,0.0,499:499
31.35,0.0,497:493
31.4,0.0,499:500
31.35,0.0,500:503
31.35,0.0,499:497
31.35,0.0,503:501
31.35,0.0,501:499
31.35,0.0,504:501
31.35,0.0,500:501
31.35,0.0,500:500
31.35,0.0,497:493
31.35,0.0,495
31.35,0.0,500:499
31.35,0.0,499:497
31.35,0.0,495:497
31.35,0.0,495:493:492
31.35,0.0,493:493
31.35,0.0,495:492
31.35,0.0,493:490
31.35,0.0,499:499
31.35,0.0,497:495
31.35,0.0,500:499
31.35,0.0,497:495
31.35,0.0,499:501
31.35,0.0,503:500
31.35,0.0,500:501
31.35,0.0,505:510
31.3,0.0,509:508
31.3,0.0,1014
31.35,0.0,507
31.35,0.0,505:503
31.3,0.0,504:505:490
31.35,0.0,501:495
31.3,0.0,497:501
31.3,0.0,500:497
31.3,0.0,490:488
31.3,0.0,486:493
31.3,0.0,493:446
31.3,0.0,524:492
31.3,0.0,488:490
31.3,0.0,488:490
31.3,0.0,486:486
31.35,0.0,483:485
31.3,0.0,486:486
31.3,0.0,481
31.3,0.0,483:486:488
31.3,0.0,486:486
31.3,0.0,483:488:488
31.3,0.0,486:490
31.3,0.0,490:490
31.3,0.0,490:490
31.25,0.0,492:488
31.25,0.0,486:488
31.3,0.0,492:495
31.3,0.0,495:493
31.3,0.0,490:493
31.3,0.0,493:493
31.25,0.0,492:492
31.3,0.0,497:499
31.3,0.0,495
31.25,0.0,500:497
31.3,0.0,503:497
31.25,0.0,493:505
31.3,0.0,500:500
31.25,0.0,497:495:497
31.25,0.0,500:499
31.25,0.0,495:499
31.25,0.0,497:497
31.25,0.0,493:493
31.25,0.0,497:497
31.25,0.0,497:493
31.25,0.0,492
31.25,0.0,488:493:493
31.25,0.0,493:492
31.25,0.0,490
31.25,0.0,495:495:493
31.25,0.0,493:493
31.25,0.0,499:500
31.25,0.0,501:495
31.25,0.0,500:500
31.25,0.0,493:490
31.25,0.0,486:497
31.2,0.0,495:490
31.2,0.0,490:486
31.25,0.0,486:486
31.25,0.0,486:481
31.2,0.0,481:479
31.2,0.0,479:481
31.2,0.0,481:481:479
31.2,0.0,479
31.2,0.0,488:488:488
31.2,0.0,967
31.2,0.0,488:488
31.2,0.0,488:486
31.2,0.0,483:479
31.2,0.0,488:486
31.15,0.0,486:483
31.2,0.0,488:488
31.2,0.0,483:490
31.15,0.0,488:485
31.2,0.0,488:488
31.2,0.0,488:486
31.2,0.0,483:483
31.2,0.0,488:492
31.2,0.0,490:490
31.2,0.0,490:488
31.15,0.0,488:486
31.15,0.0,486:486
31.2,0.0,483:490
31.2,0.0,490:490
31.15,0.0,488:493
31.15,0.0,488:486
31.15,0.0,488:490
31.15,0.0,497:499:497
31.15,0.0,493:488
31.15,0.0,497:497
31.15,0.0,495:493
31.15,0.0,493:493
31.15,0.0,492:488
31.15,0.0,493:493
31.15,0.0,493:493
31.15,0.0,492:437
31.15,0.0,479
31.15,0.0,957:479
31.15,0.0,620:495
31.15,0.0,493:490
31.15,0.0,486:493
31.15,0.0,493:493
31.1,0.0,490:488
31.15,0.0,486:490
31.15,0.0,490:488
31.1,0.0,490:490
31.1,0.0,488:486
31.1,0.0,492:493
31.1,0.0,490:486
31.1,0.0,488:486
31.1,0.0,495:493
31.1,0.0,493:492
31.1,0.0,495:493
31.1,0.0,492:493
31.1,0.0,495:495
31.1,0.0,492:497
31.1,0.0,497:493
31.1,0.0,492:488
31.1,0.0,495:493
31.1,0.0,495:490
31.05,0.0,493:490:486
31.1,0.0,485:490
31.1,0.0,490:490
31.1,0.0,485:485
31.1,0.0,481:488
31.05,0.0,486:486
31.1,0.0,492:483
31.05,0.0,481
31.1,0.0,978:488
31.05,0.0,488:483
31.05,0.0,483:483
31.05,0.0,490:486
31.05,0.0,486:481
31.1,0.0,481:479
31.05,0.0,483:481
31.05,0.0,477:479
31.05,0.0,476:472:476
31.05,0.0,476:476
31.05,0.0,472:474
31.05,0.0,479:479
31.05,0.0,481:479
31.05,0.0,481:481
31.05,0.0,479:481
31.05,0.0,477:474
31.05,0.0,479:479
31.05,0.0,481:481:483
31.0,0.0,479
31.0,0.0,483:483:481
31.0,0.0,479:486
31.0,0.0,483:486
31.0,0.0,481:488
31.0,0.0,486:486
31.0,0.0,483:481
31.0,0.0,486:486
31.0,0.0,486:483
31.0,0.0,481:526
31.0,0.0,451:488
31.05,0.0,488:490
31.0,0.0,495
31.0,0.0,497:492:490
31.0,0.0,499:495
31.0,0.0,495:493
31.0,0.0,490:495
31.0,0.0,495:490
31.0,0.0,488:493
30.95,0.0,493:492
31.0,0.0,490:486
30.95,0.0,490:490
31.0,0.0,490:490
30.95,0.0,495:497:495
30.95,0.0,495:501
30.95,0.0,504:501
30.95,0.0,501:505
30.95,0.0,507:500
30.95,0.0,497:504
30.95,0.0,500
30.95,0.0,500:497
30.95,0.0,497:497
30.95,0.0,493:493:495
30.95,0.0,495
30.95,0.0,492:490
30.95,0.0,495:495
30.95,0.0,497:497
30.95,0.0,500:500
30.95,0.0,495:493
30.9,0.0,500:497:503
30.9,0.0,500:493
30.9,0.0,490:493
30.95,0.0,493:493
30.9,0.0,490:488
30.9,0.0,486:490
30.9,0.0,493:493
30.9,0.0,492:490
30.9,0.0,495:493
30.9,0.0,493:488
30.9,0.0,486:493
30.9,0.0,495:495
30.9,0.0,492:497
30.9,0.0,497:497
30.9,0.0,495:492
30.9,0.0,497:497
30.9,0.0,495:490
30.9,0.0,495:495
