time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,heat_strain_index,HeatStrainIndex,PercentageinZ2
0,227,77,96,8.83,8.827,22,28,,37.0,32.5,,0.0,0.0,1.21728546E-4
1,224,77,96,17.65,8.827,22,28,603:598,37.0,32.45,,0.0,0.0,2.4345709E-4
2,223,74,99,26.48,8.827,22,29,598:596,37.0,32.45,,0.0,0.0,3.6518564E-4
3,226,73,100,35.31,8.827,22,30,589,37.0,32.45,,0.0,0.0,4.8691418E-4
4,228,73,102,44.14,8.827,22,30,583:586,37.0,32.5,,0.0,0.0,6.086427E-4
5,227,74,102,52.96,8.827,22,29,587:587,37.0,32.5,27.16,0.0,0.0,7.303713E-4
6,226,74,102,61.79,8.827,22,29,583,37.0,32.45,27.16,0.0,0.0,8.520998E-4
7,225,75,103,70.61,8.827,22,29,579:584,37.0,32.45,27.16,0.0,0.0,9.7382837E-4
8,224,74,103,79.44,8.827,22,29,586:593,37.0,32.45,27.16,0.0,0.0,0.0010955569
9,226,73,102,88.28,8.827,22,30,601,37.0,32.45,27.16,0.0,0.0,0.0012172854
10,225,72,100,97.1,8.827,22,30,600:592,37.0,32.45,27.16,0.0,0.0,0.001339014
11,226,71,101,105.95,8.827,22,30,538:643,37.0,32.45,27.16,0.0,0.0,0.0014607426
12,227,72,101,114.75,8.827,22,30,609:611,37.0,32.45,27.16,0.0,0.0,0.0015824711
13,226,71,100,123.58,8.827,22,30,615,37.0,32.45,27.16,0.0,0.0,0.0017041996
14,226,71,98,132.4,8.827,22,30,615,37.0,32.4,27.16,0.0,0.0,0.0018259282
15,226,71,98,141.24,8.827,22,30,611:610:605,37.0,32.45,27.16,0.0,0.0,0.0019476567
16,226,71,99,150.06,8.827,22,30,605,37.0,32.45,27.16,0.0,0.0,0.0020693853
17,226,72,99,158.88,8.827,22,30,603:595,37.0,32.45,27.16,0.0,0.0,0.0021911138
18,227,71,100,167.71,8.827,22,31,592,37.0,32.4,27.16,0.0,0.0,0.0023128423
19,227,72,101,176.54,8.827,22,30,588:583,37.0,32.4,27.16,0.0,0.0,0.0024345708
20,227,72,103,185.37,8.827,22,30,578:574,37.0,32.4,26.38,0.0,0.0,0.0025562996
21,226,72,104,194.19,8.827,22,30,573:569,37.0,32.4,26.38,0.0,0.0,0.002678028
22,226,73,105,203.02,8.827,22,30,565,37.0,32.4,26.38,0.0,0.0,0.0027997566
23,224,72,106,211.85,8.827,22,30,563:561,37.0,32.4,26.38,0.0,0.0,0.002921485
24,226,72,107,220.68,8.827,22,30,560:554,37.0,32.4,26.38,0.0,0.0,0.0030432136
25,227,71,108,229.5,8.827,22,31,556:555,37.0,32.4,25.46,0.0,0.0,0.0031649421
26,226,72,108,238.32,8.827,22,30,556,37.0,32.4,25.46,0.0,0.0,0.0032866707
27,226,73,108,247.15,8.827,22,30,555:488,37.0,32.4,25.46,0.0,0.0,0.0034083992
28,226,72,108,255.99,8.827,22,30,540:541:597,37.0,32.4,25.46,0.0,0.0,0.003530128
29,227,72,108,264.81,8.827,22,30,555,37.0,32.4,25.46,0.0,0.0,0.0036518564
30,228,72,108,273.63,8.827,22,30,629:563,37.0,32.35,27.21,0.0,0.0,0.003773585
31,226,73,108,282.46,8.827,22,30,556:559,37.0,32.4,27.21,0.0,0.0,0.0038953135
32,226,74,108,291.29,8.827,22,29,554:554,37.0,32.35,27.21,0.0,0.0,0.004017042
33,227,74,108,300.11,8.827,22,29,554,37.0,32.35,27.21,0.0,0.0,0.0041387705
34,226,74,109,308.92,8.808,22,29,551:546,37.0,32.35,27.21,0.0,0.0,0.004260499
35,226,74,109,317.75,8.827,22,29,547:546,37.0,32.35,27.98,0.0,0.0,0.0043822275
36,225,73,110,326.58,8.836,22,29,541:538,37.0,32.35,27.98,0.0,0.0,0.004503956
37,226,73,111,335.41,8.818,22,30,533:538,37.0,32.35,27.98,0.0,0.0,0.0046256846
38,226,73,111,344.22,8.818,22,30,540,37.0,32.35,27.98,0.0,0.0,0.004747413
39,227,73,111,353.04,8.818,22,30,541:537,37.0,32.35,27.98,0.0,0.0,0.0048691416
40,225,73,111,361.85,8.818,22,29,540:538,37.0,32.35,28.89,0.0,0.0,0.00499087
41,224,73,111,370.68,8.827,22,29,535,37.0,32.35,28.89,0.0,0.0,0.005112599
42,226,72,112,379.51,8.827,22,30,540:537:537,37.0,32.3,28.89,0.0,0.0,0.0052343276
43,227,72,111,388.33,8.827,22,30,540:538,37.0,32.35,28.89,0.0,0.0,0.005356056
44,228,72,112,397.17,8.827,22,30,537:535,37.0,32.35,28.89,0.0,0.0,0.0054777847
45,226,73,112,405.99,8.827,22,30,536:532,37.0,32.3,27.92,0.0,0.0,0.005599513
46,228,73,112,414.81,8.827,22,30,533:531,37.0,32.3,27.92,0.0,0.0,0.0057212417
47,228,74,113,423.64,8.827,22,29,531,37.0,32.3,27.92,0.0,0.0,0.00584297
48,228,77,113,432.48,8.827,22,28,528:527,37.0,32.3,27.92,0.0,0.0,0.0059646987
49,225,77,114,441.3,8.827,22,28,521:518,37.0,32.3,27.92,0.0,0.0,0.0060864273
50,225,77,114,450.13,8.827,22,28,524:528,37.0,32.3,26.88,0.0,0.0,0.006208156
51,226,76,114,458.96,8.827,22,28,527:524,37.0,32.3,26.88,0.0,0.0,0.0063298843
52,226,76,114,467.78,8.827,22,28,523:521,37.0,32.25,26.88,0.0,0.0,0.006451613
53,225,77,115,476.6,8.827,22,28,521:518,37.0,32.3,26.88,0.0,0.0,0.0065733413
54,224,75,115,485.43,8.827,22,29,519:522,37.0,32.25,26.88,0.0,0.0,0.00669507
55,225,75,115,494.26,8.827,22,29,523,37.0,32.25,26.88,0.0,0.0,0.0068167984
56,224,72,115,503.06,8.808,22,30,521:522,37.0,32.25,26.97,0.0,0.0,0.006938527
57,224,70,114,511.87,8.808,22,31,527:527,37.0,32.25,26.97,0.0,0.0,0.007060256
58,226,70,114,520.7,8.827,22,31,521:527,37.0,32.25,26.97,0.0,0.0,0.0071819844
