skin_temperature,HeatStrainIndex,hrv
31.35,0.0,620
31.35,0.0,619:617
31.35,0.0,620
31.4,0.0,626:625
31.4,0.0,620
31.4,0.0,626:630
31.35,0.0,626:625
31.35,0.0,628
31.4,0.0,624:617
31.4,0.0,615:609
31.35,0.0,602
31.4,0.0,601:597
31.35,0.0,595:592
31.4,0.0,589:587
31.4,0.0,586
31.35,0.0,580:580
31.35,0.0,578:573
31.4,0.0,572
31.4,0.0,568:505
31.35,0.0,629:561
31.4,0.0,563:560
31.35,0.0,558
31.4,0.0,556:558
31.4,0.0,527:556
31.4,0.0,558:558
31.4,0.0,558:556
31.4,0.0,558:560
31.4,0.0,583
31.4,0.0,555:558
31.35,0.0,555:554
31.4,0.0,552:551
31.4,0.0,550
31.4,0.0,546:541
31.4,0.0,537:538
31.4,0.0,540:540
31.4,0.0,537
31.4,0.0,535:533
31.4,0.0,532:528:528
31.4,0.0,527
31.4,0.0,532:531
31.4,0.0,532:535
31.4,0.0,532:532
31.4,0.0,533:533
31.4,0.0,532:532
31.4,0.0,532:531
31.4,0.0,532:532
31.4,0.0,535:532
31.4,0.0,529:532
31.4,0.0,597
31.4,0.0,547:549
31.4,0.0,547:547
31.4,0.0,370:526
31.4,0.0,521:523
31.4,0.0,524:523
31.4,0.0,521:519
31.4,0.0,519:521
31.4,0.0,522
31.4,0.0,521:518
31.4,0.0,518:518:518
31.4,0.0,514:514
31.4,0.0,515:514
31.4,0.0,513
31.4,0.0,1021
31.4,0.0,481:515
31.4,0.0,541:513
31.4,0.0,512:508
31.4,0.0,483:513
31.4,0.0,538
31.4,0.0,510:508
31.4,0.0,1019:509
31.4,0.0,509:507
31.4,0.0,509:510
31.4,0.0,510:509
31.4,0.0,505:508
31.4,0.0,509:510
31.4,0.0,517:517
31.4,0.0,513:513
31.4,0.0,518:515
31.4,0.0,513:517
31.4,0.0,518:513
31.4,0.0,510:509
31.4,0.0,509:509
31.4,0.0,513
31.4,0.0,513:512
31.4,0.0,510:509
31.4,0.0,513:513
31.4,0.0,513:510
31.4,0.0,518:517
31.4,0.0,518:515
31.4,0.0,513:514
31.4,0.0,522:522
31.4,0.0,518:518
