skin_temperature,HeatStrainIndex,hrv
31.7,0.0,629
31.7,0.0,630:642
31.7,0.0,621:677
31.7,0.0,644
31.7,0.0,638:635
31.7,0.0,637
31.7,0.0,648:654
31.7,0.0,652:648
31.7,0.0,648
31.7,0.0,640:634
31.7,0.0,633
31.7,0.0,624:637
31.7,0.0,563:620
31.7,0.0,606
31.7,0.0,603:606
31.7,0.0,601:600
31.7,0.0,596
31.7,0.0,596:592
31.7,0.0,592
31.7,0.0,587:583
31.7,0.0,583:577
31.7,0.0,577:572
31.7,0.0,568:566
31.7,0.0,1126:560:560
31.7,0.0,555
31.7,0.0,555:551
31.7,0.0,547:558
31.7,0.0,559:558
31.7,0.0,561
31.7,0.0,563:560
31.7,0.0,563:560
31.7,0.0,558:559
31.7,0.0,556
31.7,0.0,555:552
31.7,0.0,551:555
31.7,0.0,554
31.75,0.0,550:547:545
31.7,0.0,550
31.7,0.0,550:550:550
31.7,0.0,546
31.7,0.0,550:546
31.7,0.0,544:540
31.7,0.0,542:544
31.7,0.0,541:541
31.7,0.0,541:538
31.7,0.0,537
31.7,0.0,536:538
31.7,0.0,540:537
31.7,0.0,532:533
31.7,0.0,537:535
31.7,0.0,533
31.7,0.0,536:535
31.7,0.0,532:535
31.7,0.0,533:1062
31.7,0.0,531
31.7,0.0,532:531
31.7,0.0,528:523
31.7,0.0,524:524
31.7,0.0,527:529
31.7,0.0,527:527
31.7,0.0,528:524
31.7,0.0,533
31.7,0.0,527:532
31.65,0.0,531:528
31.65,0.0,527:532
31.7,0.0,532:528
31.7,0.0,526
31.7,0.0,523:523:527
31.65,0.0,532
31.7,0.0,531:532
31.7,0.0,529:532:531
31.7,0.0,527
31.7,0.0,527:531
31.7,0.0,526:526
31.7,0.0,527:527
31.65,0.0,523:521
31.65,0.0,521:523
31.7,0.0,528:532
31.7,0.0,532:529
31.7,0.0,529
31.7,0.0,533:532
31.7,0.0,529:532
31.65,0.0,532:531
31.65,0.0,528:532
31.65,0.0,1065
31.7,0.0,529:532
31.65,0.0,532:529
31.65,0.0,529:531
31.65,0.0,535:532
31.65,0.0,532
31.65,0.0,535:532
31.65,0.0,527:531
31.65,0.0,527:532
31.65,0.0,532:528
31.65,0.0,532:532
31.65,0.0,532
31.65,0.0,532:535
31.65,0.0,532:532
31.65,0.0,537:532
31.65,0.0,531:531
31.65,0.0,531:537
31.65,0.0,538:533
31.65,0.0,533:538
31.65,0.0,540:533
31.65,0.0,529
31.65,0.0,532:537
31.65,0.0,536:533
31.65,0.0,529:527
31.65,0.0,529:531
31.65,0.0,527:524
31.65,0.0,526:526
31.65,0.0,523:519
31.65,0.0,517
31.65,0.0,517:523
31.65,0.0,528:532
31.65,0.0,532
31.65,0.0,1057:528
31.65,0.0,529:527
31.65,0.0,526:521
31.65,0.0,521:521
31.65,0.0,524:523
31.65,0.0,1044
31.6,0.0,517:521
31.65,0.0,527:531
31.6,0.0,531
31.65,0.0,529:528
31.65,0.0,535:541
31.65,0.0,541:541
31.65,0.0,546:541
31.65,0.0,537:538
31.65,0.0,541
31.65,0.0,542:540
31.65,0.0,537:535
31.65,0.0,540:541
31.65,0.0,537:533
31.65,0.0,531:535
31.65,0.0,544:546
31.65,0.0,546:545
31.65,0.0,542
31.65,0.0,541:541
31.65,0.0,542:541
31.65,0.0,537:535
31.6,0.0,535
31.6,0.0,529:526:527
31.6,0.0,531
31.6,0.0,537:540
31.65,0.0,537:532
31.6,0.0,1072
31.6,0.0,544:547
31.6,0.0,541:540
31.6,0.0,536
31.6,0.0,558:1070
31.6,0.0,537
31.6,0.0,542:541
31.6,0.0,537:540
31.6,0.0,540:533
31.6,0.0,529
31.65,0.0,532:538:541
31.6,0.0,537:536
31.6,0.0,535
31.65,0.0,537:532
31.6,0.0,532:536
31.6,0.0,535:532
31.6,0.0,533:531
31.6,0.0,531:535
31.6,0.0,528
31.6,0.0,527:526:527
31.6,0.0,529:532
31.6,0.0,532:524
31.6,0.0,526
31.6,0.0,533
31.6,0.0,1621
31.6,0.0,541:540
31.6,0.0,540:532
31.6,0.0,527:527
31.6,0.0,528
31.6,0.0,532:529
31.6,0.0,528:523
31.6,0.0,522:521
31.6,0.0,1047
31.6,0.0,533:527
31.65,0.0,535:527
31.6,0.0,524
31.6,0.0,528:524:526
31.6,0.0,523:523
31.65,0.0,521
31.6,0.0,518:515
31.6,0.0,517:514
31.6,0.0,512:513
31.6,0.0,521:521
31.6,0.0,522:523
31.6,0.0,531:531
31.6,0.0,527:537
31.6,0.0,536:531
31.6,0.0,532
31.6,0.0,535:540
31.6,0.0,540:536
31.6,0.0,538:537
31.6,0.0,532:528
31.6,0.0,532:526
31.6,0.0,527:531
31.6,0.0,528:523
31.6,0.0,526:529
31.6,0.0,532:536
31.6,0.0,532
31.6,0.0,529
31.6,0.0,1072:545
31.6,0.0,546
31.6,0.0,1095:550
31.6,0.0,550
31.6,0.0,552:546
31.65,0.0,1088
31.65,0.0,546:546
31.65,0.0,546:541
31.65,0.0,546:549
31.65,0.0,544:538
31.65,0.0,538:542
31.65,0.0,542
31.65,0.0,549:550
31.65,0.0,550:550
31.65,0.0,555:550
31.6,0.0,550
31.6,0.0,550:545
31.6,0.0,544:542
31.6,0.0,536:529
31.6,0.0,532
31.6,0.0,1075:540
31.6,0.0,536
31.6,0.0,536:532
31.6,0.0,1060
31.65,0.0,528:527
31.65,0.0,523:521
31.6,0.0,526:531
31.6,0.0,533:536
31.6,0.0,532:529
31.6,0.0,532:532
31.6,0.0,1062
31.6,0.0,532:535
31.65,0.0,527
31.6,0.0,531:532
31.6,0.0,540
31.6,0.0,532:550
31.6,0.0,538:537:540
31.6,0.0,546
31.6,0.0,546:551
31.6,0.0,545:546
31.6,0.0,546:541
31.6,0.0,545:542
31.6,0.0,538:542
31.6,0.0,541
31.6,0.0,537:542:541
31.6,0.0,546:552
31.6,0.0,552
31.6,0.0,547:551
31.6,0.0,555:549
31.6,0.0,550:555
31.6,0.0,551
31.6,0.0,555:558
31.6,0.0,554:550
31.6,0.0,549:547
31.6,0.0,554
31.6,0.0,550:550
31.6,0.0,541:537
31.6,0.0,533:533
31.6,0.0,531:532
31.6,0.0,529:523
31.6,0.0,524:531
31.6,0.0,537:537
31.6,0.0,541:541
31.6,0.0,1082
31.6,0.0,538
31.6,0.0,547:546
31.6,0.0,544:541
31.6,0.0,545:546
31.6,0.0,546:542
31.6,0.0,546
31.6,0.0,550:546
31.6,0.0,541:544
31.6,0.0,545:546
31.6,0.0,546
31.6,0.0,547:541
31.55,0.0,545:550:547
31.55,0.0,547
31.6,0.0,547:547
31.55,0.0,545:542
31.55,0.0,542:546
31.6,0.0,550:552
31.6,0.0,546
31.55,0.0,551:549
31.55,0.0,549:550
31.55,0.0,550:545
31.55,0.0,540:540
31.55,0.0,542:545
31.55,0.0,546
31.55,0.0,545:545
31.55,0.0,544:542
31.55,0.0,540:541
31.55,0.0,533:537
31.55,0.0,540:532
31.55,0.0,528:529
31.55,0.0,532:528
31.55,0.0,537
31.55,0.0,531:531
31.55,0.0,531:533
31.55,0.0,1062
31.55,0.0,1060
31.55,0.0,529:531
31.55,0.0,527:522
31.55,0.0,526
31.55,0.0,527:527
31.55,0.0,524:523
31.55,0.0,522:521
31.55,0.0,519:519
31.55,0.0,514:514
31.55,0.0,517:518
31.5,0.0,518:513
31.55,0.0,514:517
31.55,0.0,521:523
31.55,0.0,523:522
31.55,0.0,519
31.5,0.0,521:523
31.5,0.0,522:521:523
31.5,0.0,524
31.55,0.0,522:521
31.5,0.0,523:527
31.5,0.0,526:523
31.55,0.0,523:524
31.5,0.0,523:519
31.5,0.0,521
31.5,0.0,1052:527
31.5,0.0,524
31.5,0.0,522:533:527
31.5,0.0,527:528
31.5,0.0,527:524
31.5,0.0,526
31.5,0.0,523
31.5,0.0,1042:521
31.5,0.0,517:513
31.5,0.0,515:517
31.5,0.0,522:523
31.5,0.0,526:522
31.5,0.0,521:518
31.55,0.0,517:518
31.55,0.0,515
31.5,0.0,513:512
31.5,0.0,509:510
31.5,0.0,510:509
31.5,0.0,504:509:508
31.55,0.0,513:515
31.55,0.0,513:513
31.5,0.0,518
31.5,0.0,518:514
31.5,0.0,521:518
31.5,0.0,515:519
31.5,0.0,521:519
31.5,0.0,518:519
31.5,0.0,517:515
31.5,0.0,518:518
31.5,0.0,517:513
31.5,0.0,518
31.5,0.0,517:513
31.5,0.0,512:521
31.5,0.0,512:513
31.5,0.0,514:513:510
31.5,0.0,512:514
31.5,0.0,514:513
31.5,0.0,512
31.5,0.0,513:514
31.5,0.0,515:512
31.5,0.0,1026
31.5,0.0,515:513
31.5,0.0,512:513
31.5,0.0,514:514
31.5,0.0,513:510
31.5,0.0,513:517
31.5,0.0,514:513
31.5,0.0,510:513
31.5,0.0,1021
31.5,0.0,509:513
31.5,0.0,512
31.45,0.0,510:509:505
31.5,0.0,504:509
31.45,0.0,508:508
31.45,0.0,504:507
31.45,0.0,507:510
31.45,0.0,510
31.45,0.0,508:505:509
31.45,0.0,509
31.45,0.0,507:509
31.45,0.0,509:509
31.45,0.0,509:509
31.45,0.0,507:512
31.45,0.0,509:508
31.45,0.0,508:509
31.45,0.0,508:507
31.45,0.0,501:503
31.45,0.0,503:509
31.45,0.0,508:509
31.45,0.0,504:507
31.45,0.0,507:507
31.45,0.0,505:507
31.45,0.0,504:503
31.45,0.0,505:504
31.45,0.0,501:497
31.45,0.0,500:500
31.45,0.0,505
31.45,0.0,504:504:501
31.45,0.0,507:508
31.4,0.0,505:504
