time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,heat_strain_index,HeatStrainIndex,PercentageinZ2
0,224,75,104,8.83,8.827,24,29,,37.15,31.2,,0.0,0.0,1.2605572E-4
1,225,75,105,17.66,8.827,24,29,577,37.15,31.15,,0.0,0.0,2.5211144E-4
2,223,76,104,26.48,8.827,24,28,577,37.15,31.2,,0.0,0.0,3.7816714E-4
3,222,74,105,35.31,8.827,24,29,1146:572,37.15,31.2,,0.0,0.0,5.042229E-4
4,222,72,105,44.13,8.827,24,29,565:569,37.15,31.15,,0.0,0.0,6.302786E-4
5,224,72,105,52.97,8.827,24,30,569,37.15,31.15,21.26,0.0,0.0,7.563343E-4
6,225,71,105,61.79,8.827,24,30,568:566,37.16,31.15,21.26,0.0,0.0,8.8239E-4
7,223,71,106,70.61,8.827,24,30,569:566,37.16,31.15,21.26,0.0,0.0,0.0010084457
8,224,71,105,79.45,8.827,24,30,569:570,37.16,31.15,21.26,0.0,0.0,0.0011345014
9,224,71,105,88.28,8.827,24,30,566,37.16,31.15,21.26,0.0,0.0,0.0012605572
10,225,71,106,97.1,8.827,24,30,564:556,37.16,31.15,20.67,0.0,0.0,0.0013866129
11,225,72,107,105.92,8.827,24,30,556:556,37.16,31.15,20.67,0.0,0.0,0.0015126686
12,224,72,107,114.75,8.827,24,30,560:563,37.16,31.15,20.67,0.0,0.0,0.0016387244
13,223,73,107,123.58,8.827,24,29,563:558,37.16,31.15,20.67,0.0,0.0,0.00176478
14,222,72,107,132.4,8.827,24,29,558,37.16,31.15,20.67,0.0,0.0,0.0018908357
15,225,71,108,141.23,8.827,24,30,560:552,37.16,31.15,20.86,0.0,0.0,0.0020168915
16,225,70,108,150.06,8.827,24,31,552:556,37.16,31.15,20.86,0.0,0.0,0.0021429472
17,224,71,109,158.88,8.827,24,30,541:546,37.16,31.15,20.86,0.0,0.0,0.0022690028
18,224,72,110,167.71,8.827,24,30,546:542,37.16,31.15,20.86,0.0,0.0,0.0023950585
19,226,72,111,176.55,8.827,24,30,541:538,37.16,31.15,20.86,0.0,0.0,0.0025211144
20,225,73,111,185.37,8.827,24,29,540,37.16,31.15,20.6,0.0,0.0,0.00264717
21,223,74,110,194.19,8.827,24,29,547:546,37.16,31.15,20.6,0.0,0.0,0.0027732258
22,223,73,110,203.03,8.827,24,29,546:551,37.16,31.15,20.6,0.0,0.0,0.0028992814
23,225,73,109,211.84,8.827,24,29,555:554,37.16,31.15,20.6,0.0,0.0,0.0030253371
24,225,72,109,220.67,8.827,24,30,551,37.16,31.15,20.6,0.0,0.0,0.003151393
25,223,72,109,229.51,8.827,24,30,550:542,37.16,31.15,21.61,0.0,0.0,0.0032774487
26,223,72,110,238.32,8.827,24,30,537:545,37.16,31.15,21.61,0.0,0.0,0.0034035044
27,225,72,110,247.16,8.827,24,30,542:537,37.16,31.15,21.61,0.0,0.0,0.00352956
28,224,73,111,255.98,8.827,24,29,536:535,37.16,31.15,21.61,0.0,0.0,0.0036556157
29,225,72,112,264.81,8.827,24,30,532:528,37.16,31.15,21.61,0.0,0.0,0.0037816714
30,224,72,113,273.63,8.827,24,30,527:526,37.16,31.15,21.88,0.0,0.0,0.003907727
31,224,72,114,282.46,8.827,24,30,522:523,37.16,31.15,21.88,0.0,0.0,0.004033783
32,225,73,115,291.29,8.827,24,29,519,37.16,31.15,21.88,0.0,0.0,0.0041598384
33,224,74,115,300.11,8.827,24,29,521:513,37.16,31.15,21.88,0.0,0.0,0.0042858943
34,223,73,115,308.94,8.827,24,29,1016,37.16,31.15,21.88,0.0,0.0,0.0044119502
35,226,73,116,317.77,8.827,24,30,513:513:514,37.16,31.15,21.68,0.0,0.0,0.0045380057
36,228,75,116,326.59,8.827,23,29,518:514,37.16,31.15,21.68,0.0,0.0,0.0046640616
37,223,76,117,335.43,8.827,23,28,513,37.16,31.15,21.68,0.0,0.0,0.004790117
38,223,76,116,344.25,8.827,23,28,518:518,37.16,31.15,21.68,0.0,0.0,0.004916173
39,223,74,116,353.07,8.827,23,29,518:514,37.16,31.15,21.68,0.0,0.0,0.005042229
40,223,73,116,361.9,8.827,23,29,517:518,37.17,31.15,24.69,0.0,0.0,0.0051682843
41,224,73,116,370.73,8.827,23,29,518:517,37.17,31.15,24.69,0.0,0.0,0.00529434
42,222,73,116,379.55,8.827,23,29,515:514,37.17,31.15,24.69,0.0,0.0,0.0054203956
43,222,71,116,388.38,8.827,23,30,514:513,37.17,31.15,24.69,0.0,0.0,0.0055464515
44,224,71,117,397.21,8.827,23,30,513:509,37.17,31.15,24.69,0.0,0.0,0.0056725075
45,225,72,118,406.03,8.827,23,30,509:509,37.17,31.15,24.33,0.0,0.0,0.005798563
46,226,72,118,414.86,8.827,23,30,512:569,37.17,31.15,24.33,0.0,0.0,0.005924619
47,224,73,118,423.7,8.827,23,29,460:514,37.17,31.15,24.33,0.0,0.0,0.0060506742
48,223,73,118,432.52,8.827,23,29,514:513,37.17,31.15,24.33,0.0,0.0,0.00617673
49,223,74,117,441.35,8.827,23,29,514:510,37.17,31.1,24.33,0.0,0.0,0.006302786
50,223,72,117,450.17,8.827,23,30,510,37.17,31.1,25.27,0.0,0.0,0.0064288415
51,225,72,117,459.0,8.827,23,30,512:509:510,37.17,31.1,25.27,0.0,0.0,0.0065548974
52,224,71,118,467.82,8.827,23,30,509:509,37.17,31.1,25.27,0.0,0.0,0.006680953
53,225,72,118,476.65,8.827,23,30,504:504,37.18,31.1,25.27,0.0,0.0,0.0068070088
54,226,73,119,485.48,8.827,23,30,504:509,37.18,31.1,25.27,0.0,0.0,0.006933064
55,224,74,118,494.3,8.827,23,29,509:508,37.18,31.1,26.3,0.0,0.0,0.00705912
56,224,74,118,503.14,8.827,23,29,507:504,37.18,31.1,26.3,0.0,0.0,0.007185176
57,224,74,119,511.96,8.827,23,29,503:500,37.18,31.1,26.3,0.0,0.0,0.0073112315
58,222,74,119,520.79,8.827,23,29,504,37.18,31.1,26.3,0.0,0.0,0.0074372874
59,222,74,120,529.61,8.827,23,29,500:500,37.18,31.1,26.3,0.0,0.0,0.007563343
60,224,72,120,538.45,8.827,23,30,500:499:499,37.18,31.1,26.98,0.0,0.0,0.0076893987
61,224,72,120,547.26,8.827,23,30,499,37.18,31.1,26.98,0.0,0.0,0.007815454
62,224,72,121,556.1,8.827,23,30,495:495:493,37.18,31.1,26.98,0.0,0.0,0.0079415105
63,224,73,121,564.92,8.827,23,29,492:495,37.18,31.1,26.98,0.0,0.0,0.008067566
64,224,73,121,573.75,8.827,23,29,495:497,37.18,31.1,26.98,0.0,0.0,0.008193621
65,225,73,121,582.57,8.827,23,29,497,37.18,31.1,28.22,0.0,0.0,0.008319677
66,224,74,121,591.39,8.808,23,29,497:495:497,37.18,31.05,28.22,0.0,0.0,0.008445733
67,223,73,121,600.19,8.808,23,29,497:495,37.18,31.1,28.22,0.0,0.0,0.008571789
68,224,73,121,609.0,8.808,23,29,493,37.18,31.1,28.22,0.0,0.0,0.008697844
69,222,73,121,617.81,8.808,23,29,495:497:495,37.18,31.1,28.22,0.0,0.0,0.0088239005
70,223,71,121,626.63,8.827,23,30,497:495,37.18,31.05,27.87,0.0,0.0,0.008949956
71,225,71,121,635.47,8.827,23,30,495:495,37.18,31.05,27.87,0.0,0.0,0.009076011
72,226,72,121,644.28,8.827,23,30,495:490,37.18,31.05,27.87,0.0,0.0,0.009202068
73,226,74,122,653.12,8.827,23,29,490:488,37.18,31.05,27.87,0.0,0.0,0.009328123
74,225,74,121,661.95,8.827,23,29,503:497,37.18,31.05,27.87,0.0,0.0,0.009454179
75,223,75,121,670.76,8.827,23,28,497:495,37.18,31.05,26.85,0.0,0.0,0.009580234
76,225,74,121,679.6,8.827,23,29,493,37.18,31.05,26.85,0.0,0.0,0.00970629
77,223,74,121,688.42,8.827,23,29,495:500:495,37.18,31.05,26.85,0.0,0.0,0.009832346
78,223,74,121,697.25,8.827,23,29,492:493,37.18,31.05,26.85,0.0,0.0,0.009958401
79,225,74,122,706.07,8.827,23,29,488:499,37.18,31.05,26.85,0.0,0.0,0.010084458
80,226,75,121,714.9,8.827,23,29,501:497,37.18,31.05,25.77,0.0,0.0,0.010210513
81,224,75,120,723.73,8.827,23,29,495:501,37.18,31.05,25.77,0.0,0.0,0.010336569
82,223,76,120,732.54,8.818,23,28,500:501,37.18,31.05,25.77,0.0,0.0,0.010462624
83,223,75,120,741.36,8.818,23,28,495:499,37.18,31.05,25.77,0.0,0.0,0.01058868
84,223,74,120,750.2,8.827,23,29,501:501,37.18,31.05,25.77,0.0,0.0,0.010714736
85,224,75,120,759.01,8.827,23,29,500:499,37.18,31.05,25.05,0.0,0.0,0.010840791
86,224,74,120,767.84,8.827,23,29,493:497,37.18,31.05,25.05,0.0,0.0,0.010966848
87,225,74,121,776.67,8.827,23,29,497,37.18,31.05,25.05,0.0,0.0,0.011092903
88,224,74,122,785.49,8.827,23,29,490:474:504,37.18,31.05,25.05,0.0,0.0,0.0112189585
89,225,74,121,794.33,8.827,23,29,497:500,37.19,31.05,25.05,0.0,0.0,0.011345015
90,223,76,120,803.15,8.827,23,28,504:504,37.19,31.0,25.76,0.0,0.0,0.01147107
91,224,74,119,811.98,8.827,23,29,503:497,37.19,31.0,25.76,0.0,0.0,0.011597126
92,223,73,120,820.81,8.827,23,29,495:495,37.19,31.0,25.76,0.0,0.0,0.011723181
93,223,73,121,829.64,8.827,23,29,495:501,37.19,31.05,25.76,0.0,0.0,0.011849238
94,224,72,120,838.46,8.827,23,30,500:499,37.19,31.05,25.76,0.0,0.0,0.011975293
95,223,73,120,847.28,8.827,23,29,497:495,37.19,31.05,25.83,0.0,0.0,0.0121013485
96,223,71,121,856.11,8.827,23,30,492:490,37.19,31.0,25.83,0.0,0.0,0.012227405
97,226,72,122,864.94,8.827,23,30,492:497,37.19,31.05,25.83,0.0,0.0,0.01235346
98,225,72,121,873.76,8.827,23,30,499:500,37.19,31.0,25.83,0.0,0.0,0.012479516
99,226,73,120,882.61,8.845,23,30,499:497,37.19,31.0,25.83,0.0,0.0,0.012605572
100,223,74,120,891.46,8.845,23,29,495:499,37.19,31.0,26.28,0.0,0.0,0.012731628
101,224,76,120,900.31,8.845,23,28,499:497,37.19,31.0,26.28,0.0,0.0,0.012857683
102,223,74,121,909.15,8.845,23,29,495:500,37.19,31.0,26.28,0.0,0.0,0.012983738
103,223,73,120,917.98,8.827,23,29,500:497,37.19,31.0,26.28,0.0,0.0,0.013109795
104,225,73,121,926.81,8.827,23,29,495:497,37.19,31.0,26.28,0.0,0.0,0.01323585
105,225,75,120,935.63,8.827,23,29,501:501,37.19,31.0,26.18,0.0,0.0,0.013361906
106,224,75,120,944.45,8.827,23,29,504:500,37.19,31.0,26.18,0.0,0.0,0.013487962
107,224,75,119,953.28,8.827,23,29,503:508,37.19,31.0,26.18,0.0,0.0,0.0136140175
108,223,74,118,962.11,8.827,23,29,509:505,37.19,31.0,26.18,0.0,0.0,0.013740073
109,223,74,118,970.94,8.827,23,29,509:508,37.19,31.0,26.18,0.0,0.0,0.013866128
110,225,74,118,979.77,8.827,23,29,507:512,37.19,31.0,25.33,0.0,0.0,0.013992185
111,224,75,118,988.59,8.827,23,29,509:505,37.19,31.0,25.33,0.0,0.0,0.01411824
112,224,74,118,997.42,8.827,23,29,504:505,37.19,31.0,25.33,0.0,0.0,0.014244296
113,225,74,118,1006.25,8.827,23,29,513:513,37.19,31.0,25.33,0.0,0.0,0.014370352
114,225,75,117,1015.08,8.827,23,29,514:512,37.2,31.0,25.33,0.0,0.0,0.0144964075
115,222,75,117,1023.9,8.827,23,28,515:514,37.2,31.0,23.97,0.0,0.0,0.014622463
116,223,74,117,1032.73,8.827,23,29,512:513,37.2,31.0,23.97,0.0,0.0,0.014748519
117,225,73,117,1041.55,8.827,23,29,514:513,37.2,31.0,23.97,0.0,0.0,0.014874575
118,225,74,117,1050.38,8.827,23,29,509:507,37.21,31.0,23.97,0.0,0.0,0.01500063
119,224,75,118,1059.21,8.836,23,29,507:508,37.21,31.0,23.97,0.0,0.0,0.015126686
120,222,75,117,1068.06,8.836,23,28,514:521,37.21,31.0,23.85,0.0,0.0,0.015252742
121,224,75,116,1076.88,8.836,23,29,524,37.21,31.0,23.85,0.0,0.0,0.015378797
122,225,74,115,1085.72,8.827,23,29,523:527,37.21,30.95,23.85,0.0,0.0,0.015504853
123,224,75,114,1094.55,8.827,23,29,527:527,37.21,31.0,23.85,0.0,0.0,0.015630908
124,223,76,114,1103.37,8.827,23,28,527:527,37.21,30.95,23.85,0.0,0.0,0.015756965
125,224,75,114,1112.2,8.827,22,29,521:515,37.21,30.95,22.99,0.0,0.0,0.015883021
126,224,76,116,1121.03,8.827,22,28,515:513,37.21,31.0,22.99,0.0,0.0,0.016009076
127,226,76,116,1129.84,8.827,22,28,519,37.21,30.95,22.99,0.0,0.0,0.016135132
128,224,77,115,1138.67,8.827,22,28,521:521:518,37.21,30.95,22.99,0.0,0.0,0.016261188
129,223,77,116,1147.5,8.827,22,28,513:518,37.21,31.0,22.99,0.0,0.0,0.016387243
130,223,76,116,1156.33,8.827,22,28,518:521,37.21,30.95,21.62,0.0,0.0,0.0165133
131,222,76,116,1165.15,8.827,22,28,515:513,37.21,30.95,21.62,0.0,0.0,0.016639354
132,223,74,116,1173.98,8.827,22,29,515:517,37.21,30.95,21.62,0.0,0.0,0.01676541
133,223,73,116,1182.8,8.827,22,29,514:512,37.21,30.95,21.62,0.0,0.0,0.016891466
134,224,72,117,1191.63,8.827,22,30,514,37.21,30.95,21.62,0.0,0.0,0.017017521
135,224,72,117,1200.46,8.827,22,30,517:512:510,37.21,30.95,20.71,0.0,0.0,0.017143577
136,225,73,117,1209.28,8.827,22,29,513,37.21,30.95,20.71,0.0,0.0,0.017269634
137,226,74,117,1218.12,8.827,22,29,507:513,37.21,30.95,20.71,0.0,0.0,0.017395688
138,224,75,118,1226.95,8.827,22,29,509:508,37.21,30.95,20.71,0.0,0.0,0.017521745
139,224,75,119,1235.78,8.836,22,29,503:500,37.21,30.95,20.71,0.0,0.0,0.017647801
140,224,74,120,1244.62,8.836,22,29,495:504,37.21,30.95,21.29,0.0,0.0,0.017773855
141,225,76,120,1253.46,8.836,22,28,499:500,37.21,30.95,21.29,0.0,0.0,0.017899912
142,224,75,120,1262.28,8.836,22,29,499:499:495,37.21,30.95,21.29,0.0,0.0,0.018025968
143,224,75,120,1271.11,8.827,22,29,500:500,37.21,30.95,21.29,0.0,0.0,0.018152023
144,223,75,120,1279.94,8.827,22,28,500:497,37.21,30.95,21.29,0.0,0.0,0.01827808
145,222,74,120,1288.77,8.827,22,29,500:504,37.21,30.95,21.28,0.0,0.0,0.018404135
146,223,75,119,1297.6,8.827,22,28,507:504,37.21,30.95,21.28,0.0,0.0,0.01853019
147,224,74,119,1306.42,8.827,22,29,504:505,37.21,30.95,21.28,0.0,0.0,0.018656246
148,225,74,119,1315.24,8.827,22,29,504,37.21,30.95,21.28,0.0,0.0,0.0187823
149,226,75,118,1324.07,8.827,22,29,510:517,37.21,30.95,21.28,0.0,0.0,0.018908357
150,224,75,117,1332.91,8.827,22,29,517:518,37.22,30.95,20.88,0.0,0.0,0.019034414
151,223,76,116,1341.73,8.827,22,28,514:519,37.22,30.95,20.88,0.0,0.0,0.019160468
152,225,75,116,1350.56,8.827,22,29,521:513,37.22,30.95,20.88,0.0,0.0,0.019286525
153,223,75,115,1359.39,8.827,22,28,521:521,37.22,30.95,20.88,0.0,0.0,0.01941258
154,222,75,115,1368.2,8.827,22,28,515:521,37.22,30.95,20.88,0.0,0.0,0.019538635
155,224,74,115,1377.04,8.827,22,29,523:521,37.22,30.95,24.55,0.0,0.0,0.019664692
156,225,76,116,1385.87,8.827,22,28,515:513,37.22,30.95,24.55,0.0,0.0,0.019790748
157,225,76,116,1394.69,8.827,22,28,514:510,37.22,30.9,24.55,0.0,0.0,0.019916803
158,223,76,116,1403.51,8.827,22,28,519:519,37.22,30.95,24.55,0.0,0.0,0.020042859
159,223,75,116,1412.34,8.827,22,28,,37.22,30.95,24.55,0.0,0.0,0.020168915
160,223,75,116,1421.17,8.827,22,28,1034:518:517,37.22,30.9,24.63,0.0,0.0,0.02029497
161,225,75,116,1429.99,8.827,22,29,518:518,37.22,30.9,24.63,0.0,0.0,0.020421026
162,225,76,116,1438.85,8.827,22,28,518:518,37.22,30.9,24.63,0.0,0.0,0.020547083
163,224,76,116,1447.66,8.827,22,28,513,37.22,30.95,24.63,0.0,0.0,0.020673137
164,223,76,117,1456.48,8.827,22,28,513:513,37.22,30.95,24.63,0.0,0.0,0.020799194
165,223,76,117,1465.31,8.827,22,28,514:521,37.22,30.95,23.9,0.0,0.0,0.020925248
166,223,75,116,1474.13,8.827,22,28,519:517,37.22,30.9,23.9,0.0,0.0,0.021051304
167,225,75,116,1482.96,8.827,22,29,513:514,37.22,30.95,23.9,0.0,0.0,0.02117736
168,226,74,117,1491.78,8.827,22,29,512:507,37.22,30.95,23.9,0.0,0.0,0.021303415
169,224,75,118,1500.62,8.827,22,29,509:513,37.22,30.95,23.9,0.0,0.0,0.021429472
170,223,76,118,1509.43,8.827,22,28,509:509,37.22,30.9,23.41,0.0,0.0,0.021555528
