skin_temperature,HeatStrainIndex,hrv
31.4,0.0,653:652
31.4,0.0,652
31.4,0.0,648:643
31.4,0.0,638
31.4,0.0,643:648
31.4,0.0,648
31.4,0.0,647:652
31.4,0.0,647
31.4,0.0,644:638
31.4,0.0,634
31.4,0.0,626:621
31.4,0.0,619:619
31.4,0.0,615:615
31.4,0.0,612
31.4,0.0,610:603
31.4,0.0,601
31.4,0.0,597:592
31.4,0.0,592:587
31.4,0.0,584:583
31.4,0.0,579:575
31.4,0.0,623
31.4,0.0,522:569
31.4,0.0,564:558
31.4,0.0,563:564
31.4,0.0,563
31.4,0.0,564:565
31.4,0.0,563
31.4,0.0,563:564:560
31.4,0.0,556
31.4,0.0,555:554
31.4,0.0,555:555
31.4,0.0,556:556
31.4,0.0,556:560
31.4,0.0,1113
31.4,0.0,556
31.4,0.0,554:550
31.4,0.0,550:549
31.4,0.0,551:547
31.4,0.0,546:547
31.4,0.0,546
31.4,0.0,544
31.4,0.0,1085:533
31.4,0.0,532:532
31.4,0.0,537:537
31.4,0.0,537:532
31.4,0.0,533:536
31.4,0.0,533:533
31.4,0.0,535:533
31.4,0.0,533
31.4,0.0,532:532
31.4,0.0,532:518
31.4,0.0,533:529
31.4,0.0,527:526
31.4,0.0,527:528
31.4,0.0,528
31.4,0.0,523
31.4,0.0,1046
31.4,0.0,1054:522
31.4,0.0,522:526
31.4,0.0,527
31.4,0.0,523:521:521
31.4,0.0,523:526
31.4,0.0,528:528
31.4,0.0,1046
31.4,0.0,529:526
31.45,0.0,523
31.4,0.0,521:527
31.4,0.0,527:521
31.4,0.0,522:523
31.4,0.0,524:521
31.4,0.0,521:523
31.4,0.0,
31.4,0.0,521:1044
31.4,0.0,521:517:514
31.4,0.0,513:519
31.4,0.0,526:529
31.4,0.0,532
31.4,0.0,528:527:527
31.4,0.0,531
31.4,0.0,527:523
31.4,0.0,519:465
31.4,0.0,509:510
31.4,0.0,509:510
31.4,0.0,628:518
31.4,0.0,1044
31.4,0.0,521
31.45,0.0,522:521:517
31.4,0.0,510:514
31.4,0.0,514
31.4,0.0,518:518
31.4,0.0,518:513
31.4,0.0,513:512
31.4,0.0,519:517
31.4,0.0,1029:517
31.4,0.0,517
31.4,0.0,515:509
31.4,0.0,509:509
31.4,0.0,513:515
31.45,0.0,513:513
31.45,0.0,509:509
31.4,0.0,504:508
31.4,0.0,512:517
31.4,0.0,517
31.4,0.0,515:513
31.4,0.0,518:519:515
31.4,0.0,515:521
31.4,0.0,522
31.4,0.0,518:515
31.4,0.0,514:517
31.4,0.0,524:524
31.4,0.0,524:517
31.4,0.0,532:527
31.4,0.0,524:521
31.4,0.0,518:521
31.4,0.0,524:529
31.4,0.0,1069
31.4,0.0,531:537
31.4,0.0,536
31.4,0.0,533:538
31.4,0.0,537:532
31.4,0.0,540:540
31.4,0.0,537:535
31.4,0.0,537:546
31.4,0.0,550
31.4,0.0,550:546
31.4,0.0,551:552
31.4,0.0,550:555
31.4,0.0,555:549
31.4,0.0,555:559
31.4,0.0,558:551
31.4,0.0,560
31.4,0.0,563:555
31.4,0.0,552
31.4,0.0,555:559:565
31.4,0.0,
31.4,0.0,568:1129
31.4,0.0,564:560
31.4,0.0,561:558
31.4,0.0,552
31.4,0.0,556:558
31.4,0.0,556:545
31.4,0.0,1103
31.4,0.0,563:564
31.4,0.0,564:558
31.4,0.0,550
31.4,0.0,547:549
31.4,0.0,1088
31.4,0.0,540:541
31.4,0.0,546:547
31.4,0.0,541
31.4,0.0,540:545
31.4,0.0,545:541
31.4,0.0,537:537
31.4,0.0,542:545
31.4,0.0,542:544
31.4,0.0,546
31.4,0.0,550:546
31.4,0.0,542:540
31.4,0.0,546:554
31.4,0.0,558:561
31.4,0.0,556:552
31.4,0.0,555:556
31.4,0.0,550
31.35,0.0,551:552
31.4,0.0,551
31.4,0.0,1093:547
31.4,0.0,550
31.4,0.0,560:561
31.4,0.0,560:558
31.35,0.0,563:563
31.35,0.0,560
31.35,0.0,560:559
31.35,0.0,558:555
31.35,0.0,551:552
31.35,0.0,551:547
31.35,0.0,546:547
31.35,0.0,546:540
31.35,0.0,538
31.35,0.0,
31.35,0.0,1651:558
31.35,0.0,555:550
31.35,0.0,547
31.35,0.0,1105
31.35,0.0,551:547
31.35,0.0,545:540
31.35,0.0,537:541
31.35,0.0,542:541
31.4,0.0,538
31.4,0.0,544:546
31.4,0.0,558:561
31.4,0.0,560:560
31.4,0.0,563
31.4,0.0,1129:568
31.4,0.0,568
31.4,0.0,566:573
31.4,0.0,569:569
31.4,0.0,569:565
31.4,0.0,563
31.4,0.0,561:554
31.4,0.0,549:546
31.4,0.0,555:546
31.4,0.0,561
31.4,0.0,558:554
31.4,0.0,556:559
31.4,0.0,556:558
31.4,0.0,559:559
31.4,0.0,555
31.4,0.0,554:555:555
31.4,0.0,552
31.4,0.0,550:544
31.4,0.0,546:549
31.4,0.0,551:546
31.4,0.0,544:549
31.4,0.0,554
31.4,0.0,564:574
31.4,0.0,575:570
31.4,0.0,1139
