skin_temperature,HeatStrainIndex,hrv
30.65,0.7,458:458
30.65,0.7,453:460
30.6,0.7,913
30.65,0.7,460:456:458
30.65,0.7,458:456
30.65,0.7,456:453
30.65,0.7,453:453
30.65,0.7,453:451
30.65,0.7,449:449:453
30.6,0.7,453:455
30.6,0.7,453:456:455
30.6,0.7,451:456
30.6,0.7,904
30.6,0.7,458:456
30.6,0.7,449:458
30.6,0.7,455:455
30.6,0.7,451:458:460
30.6,0.7,455:456
30.55,0.7,460:462
30.55,0.7,919
30.55,0.7,462:458
30.55,0.7,462:462
30.55,0.7,921
30.6,0.7,931:460
30.6,0.7,463:467
30.6,0.7,467:462
30.6,0.7,469:469
30.55,0.7,463:469
30.55,0.7,938:463
30.55,0.7,469:472
30.55,0.7,465:467
30.55,0.7,469:470
30.55,0.7,472:465
30.55,0.7,470:469
30.55,0.7,472:467
30.55,0.7,469:472
30.55,0.7,938
30.55,0.7,469:472
30.55,0.7,467:469:467
30.55,0.7,470
30.55,0.7,469:465
30.55,0.7,469:469:462
30.55,0.7,469:472:463
30.55,0.7,469:467
30.55,0.7,472
30.55,0.7,463:470
30.55,0.7,474:472:465
30.55,0.7,474:472
30.55,0.7,474:479
30.55,0.7,467:477
30.55,0.7,479:470
30.5,0.7,479
30.5,0.7,1437
30.55,0.7,477:479
30.55,0.7,479:474
30.55,0.7,954:479
30.55,0.7,476:472
30.55,0.7,469:472
30.55,0.7,474:469
30.55,0.7,469:467
30.55,0.7,469:463
30.55,0.7,467:467:462
30.55,0.7,463:460
30.5,0.7,462
30.55,0.7,916:460
30.55,0.7,455:456
30.5,0.7,456:456
30.5,0.7,458:453
30.55,0.7,456:456:453
30.55,0.7,456:456
30.5,0.7,453:451
30.5,0.7,455
30.5,0.7,904:453:455
30.5,0.7,451:448
30.5,0.7,456:453
30.5,0.7,451:449:455
30.5,0.7,902
30.5,0.7,449:449
30.5,0.7,453:453
30.5,0.7,455:449
30.5,0.7,455:453
30.5,0.7,453:449:455
30.5,0.7,453:451
30.5,0.7,451:451
30.5,0.7,899
30.5,0.7,449:449
30.5,0.7,451:449
30.5,0.7,446:451:449
30.5,0.7,448:448
30.5,0.7,449:449:446
30.5,0.7,448:446
30.5,0.7,444:442
30.5,0.7,448:446
30.5,0.7,446:442
30.5,0.7,894:442
30.45,0.7,448:444
30.5,0.7,890
30.5,0.7,444:442
30.5,0.7,444:435:449
30.5,0.7,444:444
30.5,0.7,442
30.45,0.7,892:442
30.45,0.7,441:448
30.5,0.7,444:442:439
30.5,0.7,446:444
30.5,0.7,444:442:446
30.5,0.7,446
30.5,0.7,444
30.5,0.7,446:888:446
30.5,0.7,446:444:444
30.5,0.7,446:444
30.45,0.7,889
30.5,0.7,892
30.45,0.7,442:449
30.5,0.7,446:442
30.5,0.7,448:444:444
30.45,0.7,442:444
30.5,0.7,439:446
30.45,0.7,446:442
30.5,0.7,448:889
30.5,0.7,439:449
30.5,0.7,444:444
30.45,0.7,442:442:444
30.5,0.7,441:442
30.5,0.7,442:442
30.5,0.7,439:444
30.5,0.7,442:439:439
30.5,0.7,442:437
30.45,0.7,442:441
30.45,0.7,441:437
30.45,0.7,442:442:439
30.45,0.7,439:442
30.45,0.7,439:439
30.45,0.7,437:439
30.45,0.7,437:439:437
30.45,0.7,442:439
30.45,0.7,439:437
30.45,0.7,441:441
30.45,0.7,873:442
30.45,0.7,439:437
30.45,0.7,882:437
30.45,0.7,437:442
30.45,0.7,441:441
30.45,0.7,884
30.45,0.7,442:442:442
30.45,0.7,442:435
30.45,0.7,444:442
30.45,0.7,439:441
30.45,0.7,442:444
30.45,0.7,439:444:444
30.45,0.7,439:444
30.45,0.7,444:441
30.45,0.7,444:442
30.45,0.7,442:442:442
30.45,0.7,888
30.45,0.7,446:444
30.45,0.7,439:446:444
30.45,0.7,444:444
30.45,0.7,444:444
30.45,0.7,446:439:446
30.45,0.7,444:437
30.45,0.7,444:444
30.45,0.7,441:442
30.45,0.7,444:444
30.45,0.6,446:444
30.45,0.6,442:446:446
30.45,0.6,439
30.45,0.6,894
30.45,0.6,893:444
30.45,0.6,446:442:449
30.5,0.6,448
30.45,0.6,893:898
30.45,0.6,446
30.45,0.6,451:449:444
30.45,0.6,451:449
30.45,0.6,449:451
30.45,0.6,449:448
30.45,0.6,453:453
30.45,0.6,449:451:446
30.45,0.6,455:451
30.45,0.6,453:453
30.45,0.6,453:453
30.5,0.6,451
30.45,0.6,1361:453
30.5,0.6,455:449
30.5,0.6,456:456
30.5,0.6,451:456
30.5,0.6,453:453
30.5,0.6,451:458:455
30.5,0.6,455:456
30.5,0.6,456:456
30.5,0.6,455:455:451
30.5,0.6,449:453
30.5,0.6,453:449
30.5,0.6,448:451
30.5,0.6,449:448
30.5,0.6,449:442:451
30.5,0.6,448
30.5,0.6,1343
30.5,0.6,446:449
30.5,0.6,444:442
30.5,0.6,451:449
30.5,0.6,449:898
30.5,0.7,449:446
30.5,0.7,449:449:449
30.5,0.7,444:451
30.5,0.7,451:448
30.5,0.7,446:451
30.55,0.7,449:444
30.5,0.6,897:451
30.55,0.7,449:448
30.5,0.7,896
30.55,0.7,449:446
30.55,0.7,449:449
30.55,0.7,449:446:453
30.55,0.7,449
30.55,0.7,897:453
30.55,0.7,449:449
30.55,0.7,455:453
30.55,0.7,451:448
30.55,0.7,455:453:451
30.55,0.7,453:451
30.55,0.7,453:456:456
30.55,0.7,455:456
30.55,0.6,456:453
30.6,0.6,456:456
30.55,0.6,453:449
30.55,0.6,456:456
30.55,0.6,451:455
30.55,0.6,446:456:456
30.55,0.6,453:451
30.6,0.6,456
30.55,0.6,906:458
30.6,0.6,458
30.55,0.6,453
30.6,0.6,1370:456:453
30.55,0.6,453:458
30.55,0.6,456:455:453
30.6,0.6,903
30.55,0.6,458:456
30.6,0.7,453:458
30.6,0.6,456:453
30.6,0.6,456:451
30.6,0.7,453:444:451
30.6,0.7,458:451
30.6,0.7,453:456
30.6,0.7,453:449
30.6,0.6,458:455
30.6,0.6,453:449
30.6,0.7,456:455:453
30.6,0.7,451:455
30.65,0.7,455:456
30.6,0.7,908
30.65,0.7,451:451:456
30.65,0.7,456
30.65,0.7,456:451:458
30.65,0.7,456:455
30.65,0.7,449:456:456
30.65,0.7,451:453
30.65,0.7,448:458
30.65,0.7,455:455
30.65,0.7,453:453
30.65,0.7,451:448
30.65,0.7,904
30.65,0.7,449:449
30.65,0.7,446:453
30.65,0.7,451:451:449
30.65,0.7,455:451
30.65,0.7,451:448
30.65,0.7,904:449
30.65,0.7,449:453
30.65,0.7,453:455
30.65,0.7,451:456:453
30.65,0.7,456:453
30.65,0.7,451:458
30.65,0.7,453:453
30.65,0.7,453:456
30.65,0.7,455:456:453
30.7,0.7,460:458
30.65,0.7,453:456
30.7,0.7,913
30.7,0.7,453
30.7,0.7,916:456
30.7,0.7,455:456
30.7,0.6,456:453:458
30.7,0.7,458:456
30.7,0.7,455:455:456
30.7,0.7,456:451
30.7,0.6,451:451
30.7,0.7,456:456
30.7,0.7,456:453
30.7,0.7,458:458
30.7,0.7,455:458
30.7,0.7,456:455:456
30.7,0.7,456:458
30.7,0.7,453
30.7,0.7,453:458
30.75,0.7,916:458
30.7,0.7,455:460
30.7,0.7,458:913
30.75,0.7,458:455
30.75,0.7,458:458
30.75,0.7,455:456:456
30.7,0.7,458:455
30.75,0.7,456
30.75,0.7,449:458
30.75,0.7,910:449
30.75,0.7,458:455
30.75,0.7,453:455
30.75,0.7,453:456:456
30.75,0.7,451:456
30.75,0.7,908
30.75,0.7,448:456
