time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,heat_strain_index,HeatStrainIndex,PercentageinZ2
0,224,72,102,8.56,8.827,22,30,,37.15,31.4,,0.0,0.0,1.1037527E-4
1,225,73,103,17.38,8.827,22,29,579:583,37.15,31.4,,0.0,0.0,2.2075055E-4
2,223,73,103,26.22,8.827,22,29,587,37.15,31.4,,0.0,0.0,3.3112583E-4
3,223,72,103,35.03,8.827,22,30,583:582,37.15,31.4,,0.0,0.0,4.415011E-4
4,224,72,103,43.86,8.827,22,30,583:583,37.15,31.4,24.8,0.0,0.0,5.518764E-4
5,225,72,104,52.7,8.827,22,30,574:574,37.15,31.4,24.8,0.0,0.0,6.6225167E-4
6,224,72,104,61.52,8.827,22,30,579:573,37.15,31.4,24.8,0.0,0.0,7.7262695E-4
7,224,72,104,70.35,8.827,22,30,568,37.15,31.4,24.8,0.0,0.0,8.830022E-4
8,224,72,106,79.17,8.827,22,30,563:560,37.15,31.4,24.8,0.0,0.0,9.933775E-4
9,222,71,107,88.0,8.827,22,30,555:570,37.15,31.4,26.57,0.0,0.0,0.0011037528
10,223,70,105,96.82,8.827,22,30,578:577,37.15,31.4,26.57,0.0,0.0,0.001214128
11,224,70,104,105.65,8.827,22,31,580,37.15,31.4,26.57,0.0,0.0,0.0013245033
12,226,70,104,114.48,8.827,22,31,578:572,37.15,31.4,26.57,0.0,0.0,0.0014348786
13,225,70,105,123.3,8.827,22,31,569:565,37.15,31.4,26.57,0.0,0.0,0.0015452539
14,224,70,106,132.13,8.827,22,31,566:561,37.15,31.4,27.95,0.0,0.0,0.0016556291
15,224,71,106,140.96,8.827,22,30,560,37.15,31.4,27.95,0.0,0.0,0.0017660044
16,224,71,107,149.78,8.827,22,30,561:556,37.15,31.4,27.95,0.0,0.0,0.0018763797
17,223,71,108,158.61,8.827,22,30,554:555,37.15,31.4,27.95,0.0,0.0,0.001986755
18,223,70,108,167.44,8.827,22,30,551:546,37.15,31.4,27.95,0.0,0.0,0.0020971303
19,224,70,109,176.26,8.827,22,31,545,37.15,31.4,27.95,0.0,0.0,0.0022075055
20,224,69,110,185.09,8.827,22,31,546:546,37.15,31.4,26.51,0.0,0.0,0.0023178807
21,224,70,110,193.93,8.827,22,31,546:542,37.15,31.4,26.51,0.0,0.0,0.002428256
22,227,70,111,202.75,8.827,22,31,538:537,37.15,31.4,26.51,0.0,0.0,0.0025386314
23,226,72,112,211.57,8.827,22,30,536:540,37.15,31.4,26.51,0.0,0.0,0.0026490067
24,225,72,111,220.4,8.827,22,30,544:546,37.15,31.4,25.15,0.0,0.0,0.002759382
25,224,73,110,229.22,8.827,22,29,546,37.15,31.4,25.15,0.0,0.0,0.0028697571
26,223,73,110,238.05,8.827,22,29,541:542:542,37.15,31.4,25.15,0.0,0.0,0.0029801324
27,225,73,110,246.88,8.827,22,29,544,37.15,31.4,25.15,0.0,0.0,0.0030905078
28,223,73,111,255.7,8.827,22,29,541:540,37.16,31.4,25.15,0.0,0.0,0.003200883
29,223,73,111,264.54,8.827,22,29,541:540,37.16,31.4,24.25,0.0,0.0,0.0033112583
30,222,73,111,273.37,8.827,22,29,538:533,37.16,31.4,24.25,0.0,0.0,0.0034216335
31,225,71,112,282.19,8.827,22,30,535:527,37.16,31.4,24.25,0.0,0.0,0.0035320087
32,225,71,113,291.01,8.827,22,30,535:518,37.16,31.4,24.25,0.0,0.0,0.0036423842
33,224,71,114,299.85,8.827,22,30,527:521,37.16,31.4,24.25,0.0,0.0,0.0037527594
34,225,71,115,308.67,8.827,22,30,519,37.16,31.35,24.04,0.0,0.0,0.0038631347
35,225,72,116,317.49,8.827,22,30,515:514,37.16,31.4,24.04,0.0,0.0,0.00397351
