skin_temperature,HeatStrainIndex,hrv
31.4,0.0,587
31.4,0.0,583:582
31.4,0.0,583:583
31.4,0.0,574:574
31.4,0.0,579:573
31.4,0.0,568
31.4,0.0,563:560
31.4,0.0,555:570
31.4,0.0,578:577
31.4,0.0,580
31.4,0.0,578:572
31.4,0.0,569:565
31.4,0.0,566:561
31.4,0.0,560
31.4,0.0,561:556
31.4,0.0,554:555
31.4,0.0,551:546
31.4,0.0,545
31.4,0.0,546:546
31.4,0.0,546:542
31.4,0.0,538:537
31.4,0.0,536:540
31.4,0.0,544:546
31.4,0.0,546
31.4,0.0,541:542:542
31.4,0.0,544
31.4,0.0,541:540
31.4,0.0,541:540
31.4,0.0,538:533
31.4,0.0,535:527
31.4,0.0,535:518
31.4,0.0,527:521
31.35,0.0,519
31.4,0.0,515:514
31.4,0.0,515:519
31.4,0.0,518:514:517
31.35,0.0,517:517
31.35,0.0,513:512
31.35,0.0,513
31.4,0.0,514:515
31.4,0.0,513:508
31.35,0.0,512:515
31.35,0.0,513:513
31.35,0.0,509:509
31.35,0.0,510:515
31.35,0.0,514:513
31.35,0.0,1021
31.4,0.0,513:513
31.4,0.0,513:512
31.35,0.0,509:513
31.35,0.0,513:512
31.35,0.0,508
31.35,0.0,509:510:509
31.35,0.0,509:505
31.35,0.0,1009
31.4,0.0,508:509
31.35,0.0,510:509
31.35,0.0,509:505
31.4,0.0,504:508
31.35,0.0,505:501
31.35,0.0,449:490
31.35,0.0,490:490
31.35,0.0,492:595
31.35,0.0,500
31.35,0.0,500:504
31.35,0.0,504:500
31.4,0.0,505:504
31.35,0.0,501:500
31.35,0.0,504:501
31.35,0.0,497:497:503
31.35,0.0,500:500
31.35,0.0,500:500
31.35,0.0,501:495
31.35,0.0,495
31.35,0.0,495:500
31.35,0.0,500:503
31.35,0.0,499:497
31.35,0.0,497:495
31.35,0.0,500:500
31.4,0.0,500
31.4,0.0,996:497
31.4,0.0,497:500
31.35,0.0,497:495
31.35,0.0,493:497
31.35,0.0,508:505
31.35,0.0,504:500
31.35,0.0,500:504
31.35,0.0,504:503:500
31.35,0.0,503:507
31.35,0.0,505:504
31.35,0.0,497
31.35,0.0,508:509
31.35,0.0,507:507
31.35,0.0,501:504
31.35,0.0,507:505
31.35,0.0,505:503
31.35,0.0,503:509
31.35,0.0,505:507
31.4,0.0,501:504
31.35,0.0,510:513
31.35,0.0,510:509
31.35,0.0,513:512
31.35,0.0,504:507
31.4,0.0,512:513
31.4,0.0,514:512
31.4,0.0,510:509
31.4,0.0,509:510
31.4,0.0,508:504
31.4,0.0,501:507
31.4,0.0,504:500
31.35,0.0,500:500
31.35,0.0,508
31.35,0.0,510:507:505
31.35,0.0,504:515
31.4,0.0,513:515
31.4,0.0,515
31.4,0.0,519:519
31.4,0.0,518
31.4,0.0,1036:521:517
31.35,0.0,523
31.4,0.0,518:518
31.35,0.0,524:522
31.35,0.0,517:517
31.35,0.0,514:514
31.35,0.0,515:519
31.35,0.0,527:532
31.4,0.0,537:537
31.4,0.0,546
31.4,0.0,547:538
31.35,0.0,536:532
31.4,0.0,535:526
31.35,0.0,528:523
31.35,0.0,518:518
31.35,0.0,1037
31.4,0.0,521
31.35,0.0,1049:519
31.35,0.0,523:521
31.35,0.0,519
31.35,0.0,518:513
31.35,0.0,521:518
31.35,0.0,514:518
31.35,0.0,515:513
31.35,0.0,509:515
31.4,0.0,510:507
31.4,0.0,505:500
31.4,0.0,509:509
31.35,0.0,508:507
31.35,0.0,504:501
31.35,0.0,500
31.35,0.0,503:499:495
31.4,0.0,500:500
31.4,0.0,504:497
31.4,0.0,495:499
31.4,0.0,503:504
31.4,0.0,508:504
31.35,0.0,508:508
31.35,0.0,505:504
31.35,0.0,504:507
31.35,0.0,504:504
31.35,0.0,509
31.4,0.0,514:513:518
31.4,0.0,528:527
31.4,0.0,523:523
31.4,0.0,526
31.4,0.0,532:536
31.4,0.0,533:531
31.4,0.0,532:524
31.4,0.0,522:522
31.4,0.0,521:518
31.4,0.0,513:513
31.4,0.0,513:521
31.4,0.0,522:521
31.4,0.0,518
31.4,0.0,1034
31.4,0.0,518:515:513
31.4,0.0,513:523
31.4,0.0,527
31.4,0.0,523:521
31.4,0.0,523:524
31.4,0.0,527:522
31.4,0.0,1044
31.4,0.0,523:518
31.4,0.0,521
31.4,0.0,521:518:518
31.4,0.0,518:517
31.4,0.0,513:510
31.4,0.0,513:523
31.4,0.0,527:524
31.4,0.0,521:518
31.4,0.0,514:528
31.4,0.0,527
31.4,0.0,523:521
31.4,0.0,518:518
31.4,0.0,518:513
31.4,0.0,513:509
31.4,0.0,509:500
31.4,0.0,504:508
31.4,0.0,512:510
31.4,0.0,504:510
31.4,0.0,507:500
31.4,0.0,504:504
31.4,0.0,500:500
31.4,0.0,495:499
31.4,0.0,500:509
31.4,0.0,509:509
31.4,0.0,505:504
31.4,0.0,505:509
31.4,0.0,509:507
31.4,0.0,509:513
31.4,0.0,509:504
31.4,0.0,508
31.4,0.0,1021
31.4,0.0,519:517:514
31.4,0.0,510
31.4,0.0,514:514
31.4,0.0,513:509
31.4,0.0,515:515:510
31.4,0.0,512:513
31.4,0.0,523
31.4,0.0,526:523
31.4,0.0,521:517
31.35,0.0,510:514
31.35,0.0,515:513
31.4,0.0,510:510
31.4,0.0,515:518
31.4,0.0,521:515
31.4,0.0,517:521
31.4,0.0,522
31.4,0.0,519:518:523
31.4,0.0,524
31.4,0.0,524:521
31.4,0.0,527:527
31.4,0.0,528:523
31.4,0.0,518:529
31.4,0.0,527:528
31.4,0.0,523:521
31.4,0.0,519:518
31.35,0.0,517:514
31.4,0.0,513:510
31.35,0.0,512:515
31.4,0.0,554
31.4,0.0,463:513:523
31.4,0.0,523
31.4,0.0,527:522
31.4,0.0,518:515
