second,Timestamp (seconds passed),Lap/Event,Unnamed: 2,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered,samples_per_second
0,0.46799999999999997,0.0,,70.33099999999999,19.957,0.0,2.0,71.498,0.6129999999999999,-1.4289999999999998,67.074,21.071999999999996,10.0
1,1.467,0.0,,70.679,20.274,0.0,2.0,72.06300000000002,-0.36900000000000005,-2.5199999999999996,65.001,21.181,10.0
2,2.463,0.0,,71.51,20.876,0.0,2.0,73.26,-0.472,-3.319,64.099,21.877,10.0
3,3.5127272727272727,0.0,,72.46454545454546,21.50181818181818,0.0,2.0,73.95090909090908,-0.3781818181818181,-3.869090909090909,63.642727272727264,22.52090909090909,11.0
4,4.506666666666667,0.0,,73.11444444444444,21.898888888888887,0.0,2.0,73.12,-0.7611111111111111,-3.597777777777778,63.53111111111112,21.866666666666667,9.0
5,5.457000000000001,0.0,,73.348,22.008,0.0,2.0,73.65599999999999,-0.8719999999999999,-3.967,63.051,22.125,10.0
6,6.507272727272727,0.0,,73.60818181818182,22.12090909090909,0.0,2.0,75.02818181818182,-1.4554545454545453,-5.302727272727274,61.131818181818176,22.87727272727273,11.0
7,7.513333333333334,0.0,,74.18111111111111,22.47222222222222,0.0,2.0,75.68444444444445,-0.9788888888888887,-5.947777777777778,60.96333333333333,23.998888888888885,9.0
8,8.469,0.0,,74.939,23.023000000000003,0.0,2.0,75.419,-0.899,-4.98,62.01099999999999,23.110999999999997,10.0
9,9.465,0.0,,75.365,23.347,0.0,2.0,75.40200000000002,-0.8480000000000001,-5.53,61.511999999999986,23.712,10.0
10,10.466999999999999,0.0,,75.476,23.529,0.0,2.0,75.774,-0.5549999999999999,-5.608,61.72700000000001,24.083000000000002,10.0
11,11.469,0.0,,75.646,23.784,0.0,2.0,76.29,-0.199,-5.488,62.202999999999996,24.318999999999996,10.0
12,12.465,0.0,,75.91799999999999,24.117,0.0,2.0,76.111,-0.084,-5.628,62.178,24.574,10.0
13,13.485,0.0,,76.17299999999999,24.4,0.0,2.0,76.459,-0.08299999999999999,-5.648999999999999,62.158,24.596,10.0
14,14.463,0.0,,76.333,24.554999999999996,0.0,2.0,76.57099999999998,-0.10300000000000001,-5.81,61.97700000000001,24.737000000000002,10.0
15,15.462,0.0,,76.35099999999997,24.602,0.0,1.5,75.954,-0.3410000000000001,-5.814,61.735,24.503,10.0
16,16.476,0.0,,76.26599999999999,24.543,0.0,1.0,76.14099999999999,-0.598,-5.587999999999999,61.70399999999999,24.020000000000003,10.0
17,17.466,0.0,,76.23600000000002,24.422999999999995,0.0,1.0,76.08200000000001,-0.675,-5.887,61.327999999999996,24.242,10.0
18,18.465,0.0,,76.162,24.32,0.0,1.0,75.691,-0.8200000000000001,-5.868,61.202,24.078,10.0
19,19.467000000000002,0.0,,76.016,24.195,0.1,0.9,76.09900000000002,-0.8620000000000001,-5.843,61.185,24.011,10.0
20,20.463,0.0,,75.88799999999999,23.996,1.0,0.0,75.02499999999999,-1.371,-5.159000000000001,61.35999999999999,22.818000000000005,10.0
21,21.462,0.0,,75.607,23.574,1.0,0.0,75.06200000000001,-1.668,-6.029,60.193,23.391000000000002,10.0
22,22.47,0.0,,75.223,23.231,1.6,-0.6,74.321,-1.9779999999999998,-5.357,60.55499999999999,22.409000000000002,10.0
23,23.466,0.0,,74.821,22.931000000000004,2.0,-1.0,74.067,-2.3080000000000003,-5.586,59.996,22.308,10.0
24,24.462,0.0,,74.438,22.657999999999998,2.0,-1.0,74.03600000000002,-2.174,-5.625,60.090999999999994,22.481,10.0
25,25.476,0.0,,74.16099999999999,22.432,2.0,-1.0,73.90199999999999,-2.8939999999999997,-5.691999999999999,59.303999999999995,21.827999999999996,10.0
26,26.472,0.0,,73.88499999999999,22.109,2.0,-1.0,73.636,-2.8810000000000002,-5.5680000000000005,59.440999999999995,21.717000000000002,10.0
