second,Timestamp (seconds passed),Lap/Event,Unnamed: 2,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered,samples_per_second
0,0.462,0.0,,72.02199999999999,21.534,0.0,2.0,69.45399999999998,-2.18,0.22599999999999998,63.876,19.163999999999998,10.0
1,1.464,0.0,,71.25,20.834999999999997,0.0,2.0,70.636,-2.1460000000000004,-1.4160000000000001,62.267999999999994,20.84,10.0
2,2.46,0.0,,70.56,20.391000000000002,0.0,2.0,68.784,-2.278,0.09199999999999994,63.644000000000005,19.2,10.0
3,3.465,0.0,,69.768,19.929,0.0,2.0,68.72500000000001,-2.02,-0.502,63.30800000000001,20.052,10.0
4,4.464,0.0,,69.127,19.808,0.0,2.0,68.386,-2.016,-0.4010000000000001,63.413,19.955000000000002,10.0
5,5.460000000000001,0.0,,68.76700000000001,19.907999999999998,0.0,2.0,68.916,-1.4929999999999999,-0.17600000000000002,64.161,20.253,10.0
6,6.462000000000001,0.0,,68.70200000000001,20.073999999999998,0.0,2.0,69.07500000000002,-1.493,-0.454,63.883,20.531,10.0
7,7.464,0.0,,68.84400000000001,20.294,0.0,2.0,70.05700000000002,-0.8879999999999999,-0.475,64.46700000000001,21.157,10.0
8,8.463,0.0,,69.214,20.633,0.0,2.0,69.929,-0.596,-0.41200000000000003,64.82200000000002,21.386000000000003,10.0
9,9.471,0.0,,69.619,20.996,0.0,2.0,69.80499999999999,-0.656,-0.34500000000000003,64.829,21.259,10.0
10,10.463999999999999,0.0,,69.85900000000001,21.259,2.0,-1.0,69.64699999999999,-0.532,-0.3929999999999999,64.905,21.431,10.0
11,11.466,0.0,,69.93,21.43,1.5,-0.5,70.185,-0.7200000000000001,-0.868,64.242,21.718000000000004,10.0
12,12.468,0.0,,69.977,21.534000000000002,0.8,0.2,69.962,-0.5389999999999999,-0.538,64.753,21.569,10.0
13,13.466999999999999,0.0,,69.939,21.543,0.0,1.0,69.413,-1.027,-0.6170000000000001,64.186,21.16,10.0
14,14.463,0.0,,69.814,21.494000000000003,0.0,1.0,69.872,-1.014,-1.0790000000000002,63.737,21.634999999999998,10.0
15,15.465,0.0,,69.78399999999999,21.505,0.0,1.0,69.87700000000001,-1.1030000000000002,-1.11,63.617,21.576999999999998,10.0
16,16.467000000000002,0.0,,69.744,21.558,0.0,1.0,69.208,-1.093,-1.5899999999999999,63.147000000000006,22.067,10.0
17,17.469,0.0,,69.54400000000001,21.737,0.7,0.3,69.066,-0.4549999999999999,-1.213,64.16199999999999,22.328,10.0
18,18.468,0.0,,69.31800000000001,21.961000000000002,1.0,0.0,68.80199999999999,-0.873,-1.08,63.876999999999995,21.776999999999997,10.0
19,19.464,0.0,,69.071,22.054000000000002,1.1,0.1,68.708,-0.8069999999999998,-1.1709999999999998,63.852,21.933999999999997,10.0
20,20.463,0.0,,68.878,21.996999999999996,1.1,-0.1,68.95,-1.028,-1.234,63.568,21.776,10.0
21,21.465,0.0,,68.77799999999999,21.872999999999998,1.0,0.0,68.771,-1.286,-1.3920000000000001,63.152,21.676,10.0
22,22.464,0.0,,68.72800000000001,21.733,1.0,0.0,68.346,-0.929,-0.7300000000000001,64.171,21.371000000000002,10.0
