second,Timestamp (seconds passed),Lap/Event,Unnamed: 2,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered,samples_per_second
0,0.48600000000000004,0.0,,61.71099999999999,10.39,1.2,0.8,61.402,-0.096,0.68,72.204,9.804,10.0
1,1.491,0.0,,61.59999999999999,10.183000000000002,0.0,2.0,61.31099999999999,-0.13399999999999998,0.8300000000000001,72.31599999999999,9.616,10.0
2,2.539,0.0,,61.448,9.904,4.0,-2.0,60.947,-0.29900000000000004,0.984,72.30499999999999,9.297,10.0
3,3.5181818181818185,0.0,,61.25272727272727,9.575454545454546,4.0,-2.0,60.94818181818182,-0.3472727272727273,1.140909090909091,72.41363636363636,9.09181818181818,11.0
4,4.533333333333334,0.0,,61.08444444444444,9.291111111111112,4.0,-2.0,60.92222222222222,-0.4388888888888889,1.2422222222222223,72.42333333333333,8.898888888888889,9.0
5,5.465999999999999,0.0,,60.984,9.066,4.0,-2.0,60.87199999999999,-0.213,1.512,72.919,8.855,10.0
6,6.513636363636365,0.0,,60.85454545454545,8.89090909090909,4.0,-2.0,59.872727272727275,-0.5636363636363636,1.8727272727272728,72.92909090909092,8.143636363636364,11.0
7,7.526666666666666,0.0,,60.58777777777779,8.62,4.0,-2.0,61.44777777777777,-1.6666666666666665,0.15666666666666662,70.11,8.756666666666668,9.0
8,8.472,0.0,,60.79699999999999,8.591000000000001,4.0,-2.0,62.650999999999996,-3.7919999999999994,-2.582,65.24600000000001,9.370000000000001,10.0
9,9.513000000000002,0.0,,61.4,8.875,1.8,0.0,61.928,-4.254,-3.6450000000000005,63.721000000000004,9.971,10.0
10,10.485,0.0,,62.104,9.388000000000002,1.2,-0.2,64.263,-5.665,-5.173,60.782,10.088,10.0
11,11.48,0.0,,63.15500000000001,9.867,0.4,0.6,65.83200000000001,-5.497999999999999,-6.334,59.788,11.416,10.0
12,12.492,0.0,,64.397,10.482999999999999,0.0,1.0,66.62100000000001,-5.367,-6.529999999999999,59.723,11.742999999999999,10.0
13,13.472999999999999,0.0,,65.68,11.216,0.0,1.9,67.893,-5.765,-8.197999999999999,57.657000000000004,13.013,10.0
14,14.469,0.0,,66.764,12.042,0.0,2.0,67.88900000000001,-4.806,-8.157,58.657,13.931000000000001,10.0
