second,Timestamp (seconds passed),Lap/Event,Unnamed: 2,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered,samples_per_second
0,0.462,0.0,,69.29100000000001,16.92,0.0,2.0,69.32300000000001,-2.1059999999999994,-3.211,59.163,17.744999999999997,10.0
1,1.473,0.0,,69.473,17.348,0.0,2.0,71.395,-0.994,-4.154999999999999,59.330999999999996,19.801000000000002,10.0
2,2.454,0.0,,69.87899999999999,18.051,0.0,2.0,68.006,-2.274,-2.482,59.72399999999999,16.848000000000003,10.0
3,3.504545454545455,0.0,,69.64545454545456,18.12545454545455,0.0,2.0,70.1281818181818,-1.323636363636364,-3.2454545454545456,59.91090909090909,18.561818181818182,11.0
4,4.513333333333334,0.0,,69.7188888888889,18.317777777777778,0.0,2.0,71.31888888888889,-0.08444444444444445,-3.167777777777778,61.22777777777779,19.723333333333333,9.0
5,5.457000000000001,0.0,,70.281,18.835,0.0,2.0,72.582,0.791,-3.2659999999999996,62.004999999999995,20.697,10.0
6,6.456,0.0,,71.1,19.57,0.0,2.0,72.035,1.29,-3.1369999999999996,62.633,21.067,10.0
7,7.4670000000000005,0.0,,71.773,20.296,0.0,2.0,72.897,1.387,-3.63,62.237,21.657,10.0
8,8.463,0.0,,72.429,21.071999999999996,0.0,2.0,72.971,1.322,-3.8630000000000004,61.939,21.824999999999996,10.0
9,9.462,0.0,,72.995,21.733999999999998,0.0,2.0,74.02399999999999,1.669,-4.25,61.899,22.559,10.0
10,10.463999999999999,0.0,,73.487,22.222,0.0,2.0,73.99499999999999,1.661,-4.202,61.93900000000001,22.503,10.0
11,11.463,0.0,,73.71000000000001,22.403,0.0,2.0,73.46699999999998,1.859,-3.7729999999999997,62.565999999999995,22.272,10.0
12,12.459,0.0,,73.738,22.323,0.0,2.0,73.397,0.9120000000000001,-3.8389999999999995,61.553,21.391,10.0
13,13.463999999999999,0.0,,73.724,22.093999999999998,0.0,2.0,73.579,0.4760000000000001,-4.5809999999999995,60.375,21.697000000000003,10.0
14,14.466,0.0,,73.688,21.892999999999997,0.0,2.0,73.576,0.251,-4.65,60.080999999999996,21.541000000000004,10.0
15,15.459,0.0,,73.556,21.664,0.0,1.4,73.729,0.471,-4.484,60.467,21.595000000000002,10.0
16,16.464,0.0,,73.365,21.39,0.0,1.0,71.752,-1.293,-4.6370000000000005,58.55,19.984,10.0
17,17.472,0.0,,72.827,20.887999999999998,0.2,0.8,71.51899999999999,-2.181,-5.549,56.75,20.008,10.0
18,18.459,0.0,,72.267,20.406,1.2,-0.2,71.47999999999999,-2.134,-5.059000000000001,57.287,19.565,10.0
19,19.472999999999995,0.0,,71.862,20.014,2.0,-1.0,71.82700000000001,-1.627,-4.825,58.028,19.838,10.0
20,20.463,0.0,,71.523,19.705,2.0,-1.0,70.81099999999999,-2.0439999999999996,-4.507,57.928999999999995,19.103,10.0
21,21.465,0.0,,71.092,19.320999999999998,2.0,-1.0,69.88200000000002,-1.6029999999999998,-3.3699999999999997,59.507000000000005,18.407,10.0
22,22.467000000000002,0.0,,70.58399999999999,18.83,3.2,-1.6,70.422,-2.4290000000000003,-3.961999999999999,58.088999999999984,18.172999999999995,10.0
23,23.463,0.0,,70.399,18.533,4.0,-2.0,70.53300000000002,-2.7760000000000007,-4.593000000000001,57.111000000000004,18.457,10.0
24,24.459,0.0,,70.397,18.412,4.0,-2.0,70.566,-2.4490000000000003,-4.079000000000001,57.952,18.27,10.0
25,25.467000000000002,0.0,,70.479,18.346,4.0,-2.0,69.537,-2.872,-3.7080000000000006,57.9,17.476,10.0
26,26.466,0.0,,70.00899999999999,17.888,2.0,-1.0,67.40799999999999,-3.402,-2.6189999999999998,58.459,15.857,10.0
27,27.462,0.0,,68.987,16.996999999999996,2.0,-1.0,67.09400000000001,-4.215,-2.975,57.29,15.400000000000002,10.0
28,28.467000000000002,0.0,,67.947,16.131999999999998,2.0,-1.0,65.83500000000001,-4.321,-2.091,58.068,14.41,10.0
29,29.466,0.0,,66.895,15.26,2.0,-1.0,65.42699999999999,-4.401999999999999,-1.7089999999999996,58.36900000000001,13.947,10.0
30,30.464999999999996,0.0,,65.865,14.413000000000002,3.6,-1.8,64.663,-4.984,-1.984,57.512,13.64,10.0
31,31.464,0.0,,65.03800000000001,13.736,4.0,-2.0,63.819,-5.99,-1.566,56.924,12.216,10.0
32,32.507999999999996,0.0,,64.333,13.100999999999999,4.0,-2.0,62.391999999999996,-6.437,-1.4170000000000003,56.626,11.620000000000001,10.0
33,33.48,0.0,,63.580000000000005,12.424000000000001,4.0,-2.0,63.399,-6.573,-1.941,55.965999999999994,12.008,10.0
34,34.485,0.0,,63.112,11.863000000000001,4.0,-2.0,62.10999999999999,-6.800999999999999,-0.713,56.965999999999994,10.552000000000001,10.0
35,35.465999999999994,0.0,,62.42099999999999,11.126000000000001,4.0,-2.0,60.340999999999994,-7.682,-0.47000000000000003,56.327999999999996,9.428,10.0
36,36.458999999999996,0.0,,61.49300000000001,10.261999999999999,4.0,-2.0,59.30799999999999,-8.064,0.42800000000000005,56.84400000000001,8.148,10.0
37,37.470000000000006,0.0,,60.532000000000004,9.365,4.0,-2.0,58.633,-8.29,0.67,56.86,7.68,10.0
38,38.47800000000001,0.0,,59.572,8.517999999999999,4.0,-2.0,57.873000000000005,-8.623,1.0010000000000001,56.858000000000004,7.016,10.0
39,39.458999999999996,0.0,,58.645,7.5969999999999995,4.0,-2.0,57.48199999999999,-8.684000000000001,1.371,57.166999999999994,6.584999999999999,10.0
40,40.473,0.0,,57.745000000000005,6.767999999999999,4.0,-2.0,56.10699999999999,-9.133999999999999,2.1029999999999998,57.449,5.402999999999999,10.0
41,41.465999999999994,0.0,,56.86600000000001,6.063,4.0,-2.0,54.741,-9.667,2.7220000000000004,57.53499999999999,4.2509999999999994,10.0
