smo2,THb
71.61727272727272,-15.61181818181818
71.75777777777778,-18.133333333333333
71.857,-16.9
71.838,-16.690999999999995
71.817,-16.462
71.83099999999999,-17.389000000000003
71.765,-17.494
71.697,-17.556
71.77099999999999,-17.749000000000002
71.89200000000001,-17.907999999999998
71.981,-17.928
72.00399999999999,-17.997000000000003
72.05099999999999,-17.959
72.02000000000001,-18.283
71.958,-18.046
71.80499999999999,-18.05
71.72800000000001,-17.729
71.71000000000001,-18.162
71.663,-18.283
71.549,-18.212
71.377,-18.403
71.23500000000001,-17.936
71.178,-18.201
71.10799999999999,-18.206
70.955,-18.305
70.763,-18.362
70.576,-18.569
70.417,-18.520999999999997
70.287,-18.661
70.22200000000001,-18.7
70.109,-18.634000000000004
69.921,-18.720999999999997
69.74600000000001,-19.241
69.61799999999998,-19.504
69.51700000000001,-19.425
69.473,-19.463
69.505,-19.455
69.569,-19.74
69.607,-20.029000000000003
69.63199999999999,-19.940000000000005
69.65700000000001,-19.935
69.702,-19.945
69.695,-19.976000000000003
69.66699999999999,-20.261
69.672,-20.088
69.715,-19.83
69.839,-19.862
69.899,-19.46
69.954,-19.842
70.10499999999999,-19.532
70.174,-19.228
70.152,-19.073
70.191,-18.996999999999996
70.226,-19.157
70.24600000000001,-19.174
70.261,-19.011999999999997
70.30600000000001,-19.270000000000003
70.404,-19.092999999999996
70.444,-18.974
70.39,-18.825
70.34200000000001,-18.778
70.304,-18.837
70.239,-18.830999999999996
70.28899999999999,-18.81
70.353,-18.83
70.36800000000001,-18.651000000000003
70.345,-18.596
70.277,-18.669
70.258,-18.65
70.26799999999999,-18.909
70.273,-19.16
70.23800000000001,-18.944
70.11800000000001,-18.712
70.06699999999998,-18.792
70.047,-18.664
70.0,-18.779
70.03200000000001,-18.564
70.12899999999999,-18.806
70.16699999999999,-18.708999999999996
70.15,-18.387
70.09399999999998,-18.257
69.978,-18.187
69.89222222222222,-18.276666666666664
69.96454545454544,-17.985454545454544
70.053,-17.732999999999997
70.05999999999999,-17.856999999999996
70.066,-17.369999999999997
70.103,-17.163999999999998
70.14899999999999,-16.851000000000003
70.172,-17.281
70.139,-17.22
70.054,-16.805
69.97200000000001,-16.459
69.94000000000001,-16.105999999999998
70.01700000000001,-15.828
70.095,-15.875
70.14,-15.973333333333333
70.14727272727272,-15.883636363636365
70.208,-15.768
70.192,-15.987
70.136,-15.669
70.15800000000002,-15.45
70.27499999999998,-15.126
70.376,-15.416
70.43100000000001,-15.422
70.44300000000001,-15.266
70.46600000000001,-15.059
70.45200000000001,-14.836
70.485,-14.89
70.53899999999999,-14.871000000000004
70.57400000000001,-14.949000000000002
70.564,-14.643
70.559,-14.493
70.556,-14.501
70.56200000000001,-14.636
70.63699999999999,-14.951
70.6711111111111,-15.255555555555556
70.69545454545455,-15.103636363636364
70.652,-14.839999999999998
70.63399999999999,-14.836000000000002
70.686,-14.788999999999998
70.76599999999999,-15.035
70.79799999999999,-15.227
70.75200000000001,-15.826
70.675,-15.831
70.566,-15.685
70.47200000000001,-15.885
70.47999999999999,-16.016
70.49,-16.191
70.479,-16.162
70.476,-16.104
70.506,-15.828
70.54299999999999,-15.96
70.63199999999999,-16.616000000000003
70.696,-16.915
70.63200000000002,-16.875999999999998
70.541,-16.772000000000002
70.485,-16.717000000000002
70.53699999999999,-16.593999999999998
70.65400000000001,-16.335
70.799,-16.317999999999998
70.901,-16.534000000000002
70.96700000000001,-16.677
70.913,-16.639000000000003
70.81099999999999,-16.719
70.705,-16.758
70.58099999999999,-17.054000000000002
