time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,torque,PercentageinZ2,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,196.0,63.0,90.0,0.3,88.8,40.668568,-73.97235,0.0,30.0,0.0,30.93,99.27,27.93,32.45,0.0,603:598
1.0,223.0,71.0,91.0,1.9,88.8,40.668552,-73.97235,1.6,30.0,0.00012169892,30.83,100.8,28.39,32.45,0.0,598:596
2.0,227.0,71.0,94.0,4.5,88.8,40.66853,-73.97234,2.1,31.0,0.00024339784,30.74,102.3,28.85,32.45,0.0,589
3.0,230.0,72.0,96.0,7.8,88.8,40.6685,-73.97235,2.5,31.0,0.00036509676,30.61,104.4,29.47,32.5,0.0,583:586
4.0,228.0,74.0,96.0,11.6,88.8,40.668465,-73.97236,2.825,29.0,0.00048679567,30.49,106.4,30.07,32.5,0.0,587:587
5.0,225.0,77.0,96.0,16.0,88.8,40.668427,-73.972374,3.14,28.0,0.00060849456,30.4,108.0,30.53,32.45,0.0,583
6.0,223.0,77.0,96.0,20.7,88.8,40.668385,-73.97238,3.76,28.0,0.0007301935,30.31,109.5,30.98,32.45,0.0,579:584
7.0,223.0,74.0,97.0,25.8,88.8,40.668343,-73.9724,4.26,29.0,0.0008518924,30.16,111.9,31.72,32.45,0.0,586:593
8.0,226.0,73.0,99.0,31.3,88.8,40.668293,-73.972404,4.7,30.0,0.00097359135,30.02,114.2,32.39,32.45,0.0,601
9.0,227.0,73.0,102.0,37.0,88.8,40.668243,-73.97241,5.08,30.0,0.0010952903,29.92,115.8,32.87,32.45,0.0,600:592
10.0,225.0,74.0,102.0,43.0,88.8,40.668186,-73.97242,5.4,29.0,0.0012169891,29.83,117.3,33.33,32.45,0.0,538:643
11.0,226.0,75.0,102.0,49.2,88.8,40.668133,-73.97243,5.7,29.0,0.0013386881,29.76,118.5,33.67,32.45,0.0,609:611
12.0,223.0,74.0,103.0,55.7,88.8,40.668076,-73.972435,5.98,29.0,0.001460387,29.69,119.6,34.01,32.45,0.0,615
13.0,225.0,73.0,103.0,62.4,88.8,40.668015,-73.972435,6.22,29.0,0.001582086,29.62,120.7,34.35,32.4,0.0,615
14.0,224.0,72.0,102.0,69.2,88.8,40.667953,-73.972435,6.44,30.0,0.0017037848,29.5,122.7,34.95,32.45,0.0,611:610:605
15.0,224.0,71.0,100.0,76.3,88.8,40.66789,-73.97243,6.66,30.0,0.0018254837,29.22,124.9,35.6,32.45,0.0,605
16.0,226.0,72.0,101.0,83.5,88.8,40.667824,-73.97243,6.86,30.0,0.0019471827,27.97,127.2,36.3,32.45,0.0,603:595
17.0,227.0,71.0,101.0,90.9,88.8,40.667755,-73.97242,7.04,31.0,0.0020688816,27.61,128.7,36.74,32.4,0.0,592
18.0,225.0,71.0,101.0,98.4,88.8,40.66769,-73.972404,7.2,30.0,0.0021905806,28.0,129.5,36.99,32.4,0.0,588:583
19.0,225.0,71.0,100.0,106.1,88.8,40.66762,-73.9724,7.38,30.0,0.0023122793,28.4,130.4,37.23,32.4,0.0,578:574
20.0,225.0,71.0,98.0,113.9,88.8,40.66755,-73.97238,7.52,30.0,0.0024339783,28.79,131.2,37.47,32.4,0.0,573:569
21.0,226.0,72.0,98.0,121.8,88.8,40.66748,-73.972374,7.66,30.0,0.0025556772,29.18,132.0,37.71,32.4,0.0,565
22.0,226.0,72.0,99.0,129.9,88.8,40.667408,-73.97236,7.8,30.0,0.0026773761,28.84,134.2,38.38,32.4,0.0,563:561
23.0,227.0,71.0,100.0,138.0,88.8,40.667336,-73.97235,7.92,31.0,0.002799075,28.65,136.5,39.06,32.4,0.0,560:554
24.0,225.0,72.0,101.0,146.3,88.8,40.667263,-73.972336,8.039,30.0,0.002920774,28.79,138.8,39.77,32.4,0.0,556:555
25.0,225.0,72.0,102.0,154.6,88.8,40.667187,-73.97232,8.14,30.0,0.003042473,28.69,140.4,40.25,32.4,0.0,556
26.0,227.0,72.0,104.0,163.19,88.8,40.66711,-73.972305,8.28,30.0,0.003164172,28.51,141.8,40.66,32.4,0.0,555:488
27.0,225.0,73.0,105.0,171.8,88.8,40.667034,-73.97229,8.38,29.0,0.0032858707,28.33,143.2,41.08,32.4,0.0,540:541:597
28.0,224.0,72.0,105.0,180.5,88.8,40.666958,-73.972275,8.5,30.0,0.0034075696,28.13,144.7,41.53,32.4,0.0,555
29.0,227.0,72.0,107.0,189.2,88.8,40.666878,-73.97227,8.58,30.0,0.0035292685,27.94,146.2,41.98,32.35,0.0,629:563
30.0,226.0,71.0,107.0,198.1,88.8,40.666798,-73.97226,8.7,30.0,0.0036509675,27.7,148.1,42.55,32.4,0.0,556:559
31.0,225.0,72.0,108.0,207.0,88.8,40.666718,-73.97227,8.76,30.0,0.0037726664,27.43,150.2,43.19,32.35,0.0,554:554
32.0,225.0,73.0,108.0,216.0,88.8,40.666637,-73.97227,8.84,29.0,0.0038943654,27.34,153.9,44.18,32.35,0.0,554
33.0,226.0,72.0,108.0,225.1,88.8,40.666553,-73.972275,8.92,30.0,0.004016064,27.27,157.6,45.22,32.35,0.0,551:546
34.0,226.0,72.0,108.0,234.2,88.6,40.666473,-73.97228,9.0,30.0,0.0041377633,27.25,160.9,46.2,32.35,0.0,547:546
35.0,226.0,73.0,108.0,243.5,88.6,40.66639,-73.9723,9.08,30.0,0.004259462,27.26,163.7,47.12,32.35,0.0,541:538
36.0,225.0,73.0,108.0,252.8,88.6,40.666306,-73.97231,9.16,29.0,0.004381161,27.37,165.5,47.28,32.35,0.0,533:538
37.0,227.0,74.0,108.0,262.2,88.6,40.66622,-73.97233,9.24,29.0,0.00450286,27.53,166.9,47.17,32.35,0.0,540
38.0,224.0,74.0,108.0,271.7,88.4,40.66614,-73.97236,9.32,29.0,0.0046245586,27.69,168.4,47.07,32.35,0.0,541:537
39.0,225.0,74.0,109.0,281.3,88.4,40.666058,-73.97239,9.42,29.0,0.004746258,27.9,169.9,47.09,32.35,0.0,540:538
40.0,224.0,74.0,109.0,290.8,88.4,40.665977,-73.97243,9.46,29.0,0.0048679565,28.11,171.4,47.1,32.35,0.0,535
41.0,224.0,73.0,110.0,300.39,88.4,40.665897,-73.97248,9.52,29.0,0.0049896557,28.32,172.9,47.12,32.3,0.0,540:537:537
42.0,225.0,73.0,111.0,309.89,88.6,40.66582,-73.972534,9.54,29.0,0.0051113544,28.65,177.4,47.57,32.35,0.0,540:538
43.0,226.0,73.0,111.0,319.39,88.6,40.665752,-73.972595,9.54,30.0,0.0052330536,29.07,184.5,48.43,32.35,0.0,537:535
44.0,225.0,73.0,111.0,328.9,88.6,40.66568,-73.97266,9.52,29.0,0.0053547523,29.25,185.7,48.61,32.3,0.0,536:532
45.0,224.0,73.0,111.0,338.3,88.8,40.66561,-73.972725,9.5,29.0,0.0054764515,29.42,186.9,48.78,32.3,0.0,533:531
46.0,225.0,72.0,111.0,347.7,88.8,40.665546,-73.97279,9.46,30.0,0.00559815,29.6,188.0,48.96,32.3,0.0,531
47.0,226.0,72.0,111.0,357.0,88.8,40.66548,-73.97286,9.42,30.0,0.005719849,29.95,189.4,49.33,32.3,0.0,528:527
48.0,227.0,72.0,111.0,366.2,89.0,40.665417,-73.97293,9.36,30.0,0.005841548,30.58,191.0,50.02,32.3,0.0,521:518
49.0,226.0,73.0,112.0,375.5,89.0,40.66535,-73.973,9.32,30.0,0.005963247,31.12,197.3,51.1,32.3,0.0,524:528
50.0,227.0,73.0,112.0,384.6,89.2,40.665287,-73.97306,9.26,30.0,0.006084946,31.44,202.5,51.66,32.3,0.0,527:524
