time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,torque,PercentageinZ2,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,219.0,14.0,83.0,0.3,2.4,-11.637065,166.9547,0.0,149.0,0.0,23.31,151.3,32.21,31.4,0.0,653:652
1.0,219.0,16.0,83.0,0.3,2.4,-11.637064,166.9547,0.0,131.0,0.0,23.38,153.0,32.81,31.4,0.0,652
2.0,226.0,35.0,87.0,2.1,2.4,-11.637049,166.95471,0.9,62.0,0.00013317353,23.46,154.7,33.39,31.4,0.0,648:643
3.0,224.0,73.0,89.0,4.8,2.4,-11.637028,166.95471,1.5,29.0,0.00026634705,23.52,156.1,33.87,31.4,0.0,638
4.0,225.0,73.0,89.0,8.0,2.4,-11.637002,166.95473,1.925,29.0,0.00039952056,23.58,157.4,34.36,31.4,0.0,643:648
5.0,227.0,72.0,90.0,11.7,2.6,-11.636974,166.95474,2.28,30.0,0.0005326941,23.63,158.4,34.68,31.4,0.0,648
6.0,225.0,73.0,91.0,15.8,2.6,-11.636943,166.95477,3.1,29.0,0.00066586764,23.66,159.2,34.97,31.4,0.0,647:652
7.0,227.0,73.0,92.0,20.3,2.6,-11.63691,166.95479,3.64,30.0,0.0007990411,23.7,160.0,35.26,31.4,0.0,647
8.0,226.0,73.0,92.0,25.0,2.6,-11.636875,166.95482,4.04,30.0,0.00093221467,23.74,160.8,35.54,31.4,0.0,644:638
9.0,225.0,74.0,92.0,30.0,2.8,-11.636838,166.95485,4.4,29.0,0.0010653882,23.82,162.6,36.18,31.4,0.0,634
10.0,223.0,72.0,92.0,35.2,2.8,-11.636799,166.95486,4.7,30.0,0.0011985617,23.91,164.6,36.87,31.4,0.0,626:621
11.0,224.0,71.0,93.0,40.6,2.8,-11.636759,166.9549,4.96,30.0,0.0013317353,23.96,165.7,37.28,31.4,0.0,619:619
12.0,227.0,71.0,93.0,46.2,3.0,-11.636718,166.95493,5.18,31.0,0.0014649088,24.01,166.9,37.68,31.4,0.0,615:615
13.0,228.0,72.0,93.0,52.0,3.0,-11.636678,166.95496,5.4,30.0,0.0015980822,24.08,168.2,38.15,31.4,0.0,612
14.0,222.0,72.0,93.0,57.8,3.2,-11.636638,166.955,5.56,29.0,0.0015980822,24.15,169.9,38.75,31.4,0.0,610:603
15.0,224.0,72.0,93.0,63.9,3.2,-11.636602,166.95503,5.74,30.0,0.0017312558,24.22,171.3,39.25,31.4,0.0,601
16.0,227.0,71.0,93.0,70.0,3.4,-11.636577,166.9551,5.88,31.0,0.0018644293,24.26,172.3,39.59,31.4,0.0,597:592
17.0,226.0,70.0,93.0,76.2,3.4,-11.636559,166.95514,6.0,31.0,0.0019976029,24.31,173.2,39.93,31.4,0.0,592:587
18.0,228.0,71.0,94.0,82.4,3.6,-11.63655,166.9552,6.08,31.0,0.0021307764,24.35,174.2,40.26,31.4,0.0,584:583
19.0,226.0,72.0,96.0,88.6,3.8,-11.636557,166.95526,6.16,30.0,0.00226395,24.64,175.6,40.74,31.4,0.0,579:575
20.0,225.0,75.0,96.0,94.7,4.0,-11.636586,166.9553,6.16,29.0,0.0023971235,24.96,177.0,41.24,31.4,0.0,623
21.0,223.0,74.0,97.0,100.8,4.2,-11.636628,166.95534,6.16,29.0,0.002530297,25.31,178.4,41.74,31.4,0.0,522:569
22.0,224.0,73.0,98.0,107.0,4.2,-11.636676,166.95537,6.16,29.0,0.0026634706,25.68,179.8,42.24,31.4,0.0,564:558
23.0,225.0,72.0,98.0,113.2,4.4,-11.636728,166.95538,6.16,30.0,0.002796644,25.98,181.1,42.68,31.4,0.0,563:564
24.0,227.0,72.0,99.0,119.6,4.4,-11.636783,166.9554,6.2,30.0,0.0029298177,26.03,181.7,42.9,31.4,0.0,563
25.0,225.0,72.0,101.0,126.1,4.6,-11.63684,166.95541,6.28,30.0,0.0030629912,26.09,182.3,43.12,31.4,0.0,564:565
26.0,223.0,73.0,102.0,132.69,4.6,-11.636899,166.95543,6.38,29.0,0.0031961645,26.14,182.9,43.34,31.4,0.0,563
27.0,225.0,72.0,102.0,139.5,4.6,-11.636959,166.95544,6.5,30.0,0.003329338,26.2,183.5,43.56,31.4,0.0,563:564:560
28.0,223.0,71.0,103.0,146.4,4.6,-11.637022,166.95544,6.64,30.0,0.0034625116,26.25,184.2,43.78,31.4,0.0,556
29.0,228.0,71.0,103.0,153.6,4.6,-11.637085,166.95546,6.8,31.0,0.0035956851,26.27,186.5,44.61,31.4,0.0,555:554
30.0,224.0,73.0,103.0,160.8,4.8,-11.637148,166.95547,6.94,29.0,0.0037288587,26.17,188.9,45.43,31.4,0.0,555:555
31.0,227.0,72.0,104.0,168.2,4.8,-11.637192,166.95552,7.1,30.0,0.0038620322,25.99,191.0,46.18,31.4,0.0,556:556
